YEAR,DOY,TS,TS_MAX,TS_MIN,WS2M_MAX,WS2M,WD2M,T2M_MAX,T2M_MIN,PRECTOTCORR,GWM_HEIGHT
2021,13,26.17,33.11,20.52,5.14,3.62,115.2,28.21,20.48,0.46,-999.0
2021,14,27.11,35.1,21.4,3.99,2.7,98.4,29.23,21.3,0.12,-999.0
2021,15,27.94,36.66,21.19,5.21,3.12,18.3,30.63,21.04,0.56,-999.0
2021,16,27.76,37.39,22.92,5.47,3.46,62.3,32.14,22.84,9.25,-999.0
2021,4,27.51,34.35,23.4,4.13,3.0,46.7,28.5,23.07,0.28,-999.0
2021,3,27.22,33.79,22.64,4.44,2.98,63.8,27.92,22.23,1.24,-999.0
2021,2,26.73,33.0,22.61,4.19,3.28,99.9,27.51,22.21,1.22,-999.0
2021,1,26.35,31.96,22.48,5.22,4.16,119.4,27.31,22.13,4.28,-999.0
2021,9,24.37,29.79,21.38,6.56,5.49,138.0,25.65,20.85,1.32,-999.0
2021,10,25.21,30.68,21.27,6.47,5.37,134.0,26.61,21.22,0.81,-999.0
2021,11,25.2,31.53,20.79,5.7,4.54,125.4,26.86,20.76,0.34,-999.0
2021,21,25.5,31.53,21.6,4.67,3.57,115.9,26.14,20.83,0.21,-999.0
2021,17,26.98,33.85,21.88,3.63,3.04,86.4,28.37,21.74,0.99,-999.0
2021,18,27.07,33.38,23.35,5.76,3.77,47.0,28.81,23.39,34.58,-999.0
2021,19,27.15,33.34,22.55,4.98,2.82,127.7,29.55,21.47,7.71,-999.0
2021,20,25.8,31.0,22.32,6.33,5.12,133.5,26.71,21.75,2.22,-999.0
2021,8,24.24,27.65,21.65,8.26,6.87,145.6,24.96,21.09,8.82,-999.0
2021,7,25.51,28.98,22.9,7.78,6.67,142.8,26.11,22.16,13.56,-999.0
2021,6,28.87,36.7,23.4,4.22,2.23,80.0,31.05,23.93,4.26,-999.0
2021,12,25.77,33.15,20.24,4.87,3.51,119.6,28.03,20.18,0.08,-999.0
2021,5,28.33,36.1,24.02,3.21,2.39,16.6,30.92,23.71,0.36,-999.0
2022,1,23.42,26.09,20.65,5.49,4.45,127.3,23.86,20.6,18.12,-999.0
2022,15,27.09,34.25,22.33,4.91,3.14,34.8,28.74,22.23,5.73,-999.0
2022,16,27.88,36.23,22.72,5.39,3.54,19.8,30.98,22.33,0.82,-999.0
2022,9,27.05,33.02,23.25,4.63,3.25,73.3,28.68,23.41,0.75,-999.0
2022,8,26.29,31.47,22.91,5.36,4.05,55.5,27.78,23.14,2.09,-999.0
2022,7,25.87,30.01,23.29,7.38,5.74,80.4,27.27,23.53,7.08,-999.0
2022,14,26.85,34.3,21.33,4.28,2.82,83.9,28.11,21.16,0.25,-999.0
2022,13,26.51,33.51,21.94,4.93,3.7,116.8,28.38,21.92,0.12,-999.0
2022,12,26.33,33.17,21.41,5.09,3.67,116.9,28.21,21.38,0.13,-999.0
2022,11,26.38,32.32,22.09,5.41,4.21,114.0,27.79,22.09,2.12,-999.0
2022,10,26.93,32.95,22.7,4.82,3.62,110.9,28.29,22.5,0.79,-999.0
2022,17,28.37,34.92,24.06,4.85,3.23,40.7,29.92,23.95,0.32,-999.0
2022,4,25.54,30.49,21.22,7.78,6.54,187.3,28.76,20.9,1.71,-999.0
2022,3,24.95,30.79,19.98,7.65,6.47,192.0,28.59,19.3,1.25,-999.0
2022,2,24.3,29.78,19.98,7.19,5.27,161.9,26.54,19.99,0.97,-999.0
2022,5,26.02,31.01,22.43,6.58,5.61,144.3,27.98,22.39,4.78,-999.0
2022,20,25.35,27.98,23.05,7.51,5.81,132.4,25.89,22.62,25.79,-999.0
