YEAR,DOY,TS,TS_MAX,TS_MIN,WS2M_MAX,WS2M,WD2M,T2M_MAX,T2M_MIN,PRECTOTCORR,GWM_HEIGHT
2021,13,25.52,27.77,23.95,1.94,1.66,153.5,27.06,23.38,15.84,-999.0
2021,14,25.78,28.34,24.36,3.09,2.47,124.2,27.3,23.94,24.43,-999.0
2021,15,25.13,27.93,23.37,2.65,2.15,135.5,26.86,22.78,4.57,-999.0
2021,16,24.69,27.92,22.48,2.26,1.82,140.3,26.72,21.86,5.99,-999.0
2021,4,25.12,26.34,23.91,2.62,1.72,19.8,25.7,23.43,33.2,-999.0
2021,3,25.46,27.57,24.11,1.28,1.06,350.4,26.7,23.72,14.44,-999.0
2021,2,25.56,28.72,23.15,1.48,1.08,336.3,27.63,22.57,23.75,-999.0
2021,1,26.36,29.81,24.23,1.0,0.86,327.2,28.66,23.92,26.47,-999.0
2021,9,26.02,28.75,24.33,1.07,0.89,341.7,27.74,23.95,34.45,-999.0
2021,10,26.22,29.74,24.01,1.3,0.93,52.0,28.52,23.61,25.6,-999.0
2021,11,25.79,28.3,24.0,1.3,0.88,69.3,27.16,23.6,8.77,-999.0
2021,21,24.04,25.88,22.9,2.53,2.26,130.7,24.85,22.14,10.69,-999.0
2021,17,25.49,28.59,23.34,2.45,2.01,117.5,27.23,22.79,19.61,-999.0
2021,18,25.18,26.96,23.62,2.69,1.85,119.9,26.41,23.11,22.22,-999.0
2021,19,25.26,27.24,23.68,1.25,0.88,109.4,26.5,23.24,4.52,-999.0
2021,20,25.13,26.42,24.21,2.25,1.54,117.7,25.77,23.85,57.94,-999.0
2021,8,26.51,29.83,23.96,1.04,0.82,332.5,28.66,23.77,15.63,-999.0
2021,7,26.25,28.3,24.81,1.75,0.93,271.2,28.01,24.5,27.52,-999.0
2021,6,26.03,27.55,24.6,2.42,1.63,337.7,27.03,24.29,26.52,-999.0
2021,12,25.78,28.89,23.88,1.79,1.09,120.6,27.91,23.66,5.85,-999.0
2021,5,26.05,28.36,24.65,2.58,1.92,18.3,27.23,24.42,26.78,-999.0
2022,1,27.53,33.47,23.09,1.18,0.85,353.8,31.7,22.95,0.51,-999.0
2022,15,26.29,30.8,22.45,1.63,0.78,52.9,29.72,23.35,0.08,-999.0
2022,16,27.0,31.52,23.69,1.78,1.09,12.7,30.36,23.26,1.11,-999.0
2022,9,27.25,32.6,24.54,1.89,1.27,99.0,30.31,23.78,3.45,-999.0
2022,8,28.81,35.7,24.35,1.84,1.02,36.6,33.56,24.07,1.06,-999.0
2022,7,29.22,35.99,24.62,1.52,0.93,313.0,34.31,24.5,0.17,-999.0
2022,14,25.46,29.55,21.97,1.35,1.06,117.2,28.4,21.9,0.21,-999.0
2022,13,25.07,28.41,22.98,1.85,1.39,126.5,27.29,22.34,3.83,-999.0
2022,12,25.54,28.92,23.36,2.68,1.89,110.6,27.66,22.71,18.42,-999.0
2022,11,26.04,29.15,24.32,2.74,2.08,96.3,27.82,23.75,41.62,-999.0
2022,10,24.93,26.33,23.92,2.39,1.77,109.2,25.29,23.15,52.03,-999.0
2022,17,27.18,31.87,23.28,1.54,0.92,25.1,30.66,23.95,0.16,-999.0
2022,4,28.39,34.31,24.11,1.92,1.05,266.6,33.03,23.71,0.95,-999.0
2022,3,26.96,29.84,25.26,1.96,1.45,259.5,29.32,24.99,6.78,-999.0
2022,2,28.47,33.74,24.09,1.96,1.14,287.9,32.61,23.83,1.28,-999.0
2022,5,28.72,34.97,24.26,2.01,1.41,279.9,33.75,23.89,0.58,-999.0
2022,20,26.11,30.46,23.47,2.75,1.96,120.4,29.01,22.98,5.44,-999.0
2022,19,26.52,30.85,23.52,1.96,1.45,110.8,29.31,23.17,0.37,-999.0
2022,18,26.8,31.36,23.01,1.84,1.06,58.6,29.99,23.09,0.01,-999.0
2022,21,25.86,29.89,23.51,3.21,2.43,114.2,28.67,22.88,31.95,-999.0
2022,6,29.02,35.37,24.03,2.32,1.24,279.6,33.95,23.81,0.14,-999.0
2023,2,25.52,28.71,23.82,1.34,0.92,38.5,27.68,23.32,11.55,-999.0
2023,17,24.98,27.23,23.4,2.25,1.77,289.8,26.7,22.92,33.72,-999.0
2023,18,25.39,28.38,23.26,2.52,1.64,248.5,27.77,22.7,37.05,-999.0
2023,19,24.41,26.53,22.85,1.95,1.77,150.9,25.67,22.12,6.91,-999.0
2023,20,24.68,28.08,22.23,2.3,1.69,125.5,27.0,21.74,0.95,-999.0
2023,14,24.89,27.15,23.7,1.68,1.05,308.5,26.34,23.25,27.72,-999.0
2023,5,25.56,28.98,23.27,2.31,1.64,303.6,28.34,22.82,17.35,-999.0
