YEAR,DOY,TS,TS_MAX,TS_MIN,WS2M_MAX,WS2M,WD2M,T2M_MAX,T2M_MIN,PRECTOTCORR,GWM_HEIGHT
2021,13,23.63,26.39,20.92,4.29,2.83,37.4,26.15,21.56,0.0,-999.0
2021,14,24.57,28.54,21.91,3.9,2.96,46.3,30.34,21.22,0.16,-999.0
2021,15,24.33,27.3,22.08,6.16,2.35,185.5,27.05,21.08,0.11,-999.0
2021,16,22.86,25.84,20.65,6.04,3.37,222.6,24.75,18.62,0.0,-999.0
2021,4,22.37,23.77,20.84,2.83,1.5,20.6,24.53,21.16,7.88,-999.0
2021,3,22.23,24.17,20.82,4.41,3.34,58.6,23.98,19.53,9.11,-999.0
2021,2,21.34,22.49,20.15,2.87,2.4,100.2,20.71,18.99,3.13,-999.0
2021,1,21.42,23.22,20.23,4.41,3.52,141.5,21.5,19.1,2.12,-999.0
2021,9,22.18,24.35,20.23,2.91,2.63,115.7,23.14,19.77,0.22,-999.0
2021,10,22.69,25.63,19.78,3.45,2.26,30.8,24.97,19.09,0.07,-999.0
2021,11,23.12,25.94,20.45,4.19,2.94,24.9,25.64,19.07,0.0,-999.0
2021,21,22.89,26.04,19.7,5.08,2.9,40.8,24.8,18.39,0.01,-999.0
2021,17,22.73,25.52,20.32,4.64,3.38,145.5,23.29,18.12,0.0,-999.0
2021,18,23.85,27.39,20.51,4.03,2.56,26.2,27.16,19.23,0.0,-999.0
2021,19,22.87,24.54,21.46,6.41,5.09,167.3,22.54,19.4,1.17,-999.0
2021,20,22.43,24.55,20.38,4.41,3.34,140.0,21.96,18.51,0.63,-999.0
2021,8,21.59,23.16,20.34,4.83,4.4,151.3,21.63,19.0,0.95,-999.0
2021,7,21.68,23.12,20.6,5.52,5.12,160.0,21.56,19.38,2.82,-999.0
2021,6,22.07,23.5,21.0,5.88,4.39,163.6,21.87,20.2,3.4,-999.0
2021,12,23.3,25.99,20.85,3.47,2.84,31.1,25.96,19.81,0.01,-999.0
2021,5,22.82,25.22,20.76,3.76,2.4,148.2,24.7,20.28,1.57,-999.0
2022,1,23.96,26.18,22.01,5.11,4.13,33.9,25.57,21.1,0.05,-999.0
2022,15,24.45,26.88,23.0,4.13,3.07,30.5,27.77,22.64,7.25,-999.0
2022,16,23.84,25.8,22.18,3.59,2.03,167.3,25.44,22.28,0.66,-999.0
2022,9,23.65,25.19,22.66,5.62,3.67,145.6,24.13,21.62,2.39,-999.0
2022,8,23.94,26.3,22.76,5.77,3.35,58.3,26.8,22.06,22.84,-999.0
2022,7,24.12,25.75,23.15,6.19,5.54,42.6,25.74,22.84,10.36,-999.0
2022,14,24.25,26.39,22.52,4.0,3.15,40.5,26.01,21.78,2.31,-999.0
2022,13,23.89,25.64,22.43,3.45,2.34,127.0,24.06,21.48,11.24,-999.0
2022,12,23.96,25.76,22.72,4.58,2.96,154.0,24.3,21.6,6.13,-999.0
2022,11,24.45,26.12,22.88,3.73,2.68,50.9,25.94,22.34,3.74,-999.0
2022,10,24.39,26.45,22.8,3.81,2.77,47.9,26.23,22.36,1.01,-999.0
2022,17,24.07,26.75,21.69,2.49,1.27,34.7,27.28,22.21,0.24,-999.0
2022,4,24.23,26.29,22.58,3.9,3.15,136.1,24.6,21.83,0.36,-999.0
2022,3,24.22,26.57,22.13,3.91,2.9,101.0,25.31,21.51,0.22,-999.0
2022,2,24.28,26.81,21.9,5.25,3.94,36.4,26.37,20.73,0.56,-999.0
2022,5,24.08,26.01,22.56,4.42,3.54,108.3,24.76,21.68,18.26,-999.0
2022,20,22.47,23.87,21.66,5.9,5.18,143.7,22.61,20.87,1.23,-999.0
2022,19,22.35,23.21,21.83,6.79,5.9,164.8,22.34,20.55,8.8,-999.0
2022,18,22.86,23.5,22.12,4.66,3.74,177.9,24.3,21.06,9.73,-999.0
2022,21,22.43,23.93,21.21,4.01,3.34,119.8,23.2,20.81,1.87,-999.0
2022,6,24.11,25.75,22.92,6.0,4.82,56.5,25.47,22.4,14.85,-999.0
2023,2,23.39,26.12,20.87,4.83,3.33,40.0,25.35,20.22,0.09,-999.0
2023,17,24.37,27.21,22.11,4.09,3.04,52.4,26.24,21.57,0.02,-999.0
2023,18,24.72,27.93,21.78,4.42,3.23,24.9,28.0,20.27,6.15,-999.0
2023,19,22.62,23.24,21.92,6.56,5.58,174.3,21.94,19.93,11.05,-999.0
2023,20,23.02,24.88,21.48,4.79,3.98,148.9,22.37,19.72,1.38,-999.0
2023,14,23.84,25.68,22.28,5.16,4.03,47.8,24.54,21.33,0.59,-999.0
2023,5,21.75,23.28,20.54,8.78,6.81,185.5,20.37,17.85,7.3,-999.0
2023,6,21.48,22.56,20.46,7.41,6.53,181.8,20.65,17.72,15.04,-999.0
2023,4,22.76,25.16,21.3,4.08,3.03,93.5,23.87,19.39,14.35,-999.0
2023,1,23.01,25.32,21.08,4.37,3.29,61.0,24.43,20.51,1.46,-999.0
2023,3,23.6,26.48,21.52,3.85,3.1,48.8,25.71,20.58,1.5,-999.0
2023,7,22.0,23.52,20.81,5.82,5.13,168.2,20.99,18.83,5.46,-999.0
2023,9,22.98,26.29,19.95,4.18,1.99,145.1,24.81,19.26,0.0,-999.0
2023,8,22.57,25.07,20.6,3.8,3.13,165.2,22.56,18.6,0.04,-999.0
2023,15,24.46,27.35,21.98,4.38,3.33,41.5,26.79,20.96,0.58,-999.0
2023,16,24.32,27.05,22.23,3.87,2.87,75.9,26.15,22.01,1.53,-999.0
2023,13,23.84,26.44,21.49,4.38,3.26,58.8,25.22,20.83,0.11,-999.0
2023,21,23.17,25.57,20.82,3.96,2.81,96.3,23.41,19.46,1.28,-999.0
2023,11,23.62,26.22,21.75,3.61,2.74,116.0,24.27,20.22,0.23,-999.0
2023,12,23.57,26.43,21.18,4.24,2.94,58.6,25.18,20.27,0.31,-999.0
2023,10,23.05,25.79,20.15,4.47,3.27,162.3,23.67,19.23,0.04,-999.0
2024,19,23.23,25.68,20.84,4.12,3.2,160.8,25.16,18.63,0.01,-999.0
2024,15,23.38,24.66,22.38,6.04,5.19,118.1,22.98,21.12,16.3,-999.0
2024,9,23.64,25.47,22.3,4.17,3.16,159.6,24.23,21.6,0.6,-999.0
2024,11,24.76,27.13,22.74,3.16,1.99,95.0,26.64,22.97,3.81,-999.0
2024,8,23.37,24.49,22.31,4.83,3.6,16.8,25.1,22.09,5.88,-999.0
2024,5,22.67,24.21,21.39,4.55,4.02,148.0,22.69,20.08,0.99,-999.0
2024,2,23.4,25.39,21.66,5.07,3.77,44.8,25.4,21.57,1.4,-999.0
2024,1,22.74,24.3,21.14,4.93,3.73,47.7,23.91,20.9,1.0,-999.0
2024,3,23.72,26.03,22.33,3.59,3.04,33.0,25.93,22.18,3.68,-999.0
2024,4,23.09,25.99,21.75,5.18,3.01,162.2,26.05,21.04,7.62,-999.0
2024,6,23.0,25.1,20.98,4.02,3.14,82.2,23.97,19.86,0.12,-999.0
2024,17,23.97,25.3,22.81,4.48,3.55,29.3,25.61,22.03,20.78,-999.0
2024,16,23.44,24.99,22.01,3.8,3.45,63.4,24.0,21.15,13.94,-999.0
2024,13,25.21,28.16,22.49,3.45,2.22,59.6,27.77,22.15,2.06,-999.0
2024,14,24.43,26.46,23.26,5.29,4.44,149.7,25.04,21.71,20.41,-999.0
2024,12,24.64,26.85,22.97,3.85,2.87,62.6,26.37,22.69,1.97,-999.0
2024,10,24.27,26.88,21.64,2.99,2.1,59.9,26.42,21.43,0.26,-999.0
2024,7,23.47,25.46,21.3,5.73,4.37,37.5,25.24,20.55,0.09,-999.0
2024,18,24.32,26.54,21.78,5.69,2.8,333.9,27.15,21.75,0.39,-999.0
2024,21,25.5,28.74,22.36,6.48,2.21,326.6,31.86,22.01,0.01,-999.0
2024,20,23.92,25.62,22.31,4.58,3.49,45.4,25.02,21.49,0.03,-999.0
2025,11,23.01,24.38,21.88,4.56,3.06,62.8,24.18,21.64,8.99,-999.0
2025,1,24.38,27.65,21.61,4.54,2.87,47.3,27.36,21.29,0.15,-999.0
2025,10,22.88,24.53,21.34,3.52,2.73,85.8,24.42,21.21,13.81,-999.0
