YEAR,DOY,TS,TS_MAX,TS_MIN,WS2M,WD2M,T2M_MAX,T2M_MIN,PRECTOTCORR,GWM_HEIGHT
2021,13,18.03,20.44,15.7,5.43,36.1,19.08,13.25,1.32,-999.0
2021,14,17.92,20.45,16.37,4.97,234.3,18.99,13.68,8.99,-999.0
2021,15,16.95,18.66,15.6,3.02,170.2,15.11,12.22,10.97,-999.0
2021,16,16.84,18.46,15.85,9.03,233.3,15.67,12.3,1.95,-999.0
2021,4,17.24,19.2,15.74,3.6,94.4,17.21,14.33,1.93,-999.0
2021,3,16.8,18.32,15.49,4.17,42.9,16.97,14.51,0.52,-999.0
2021,2,16.88,19.01,15.06,4.54,37.2,17.72,13.54,0.1,-999.0
2021,1,16.43,18.3,14.84,4.53,71.2,15.51,12.91,0.41,-999.0
2021,9,17.66,20.39,15.83,2.26,203.4,19.22,13.58,0.02,-999.0
2021,10,17.73,20.56,15.31,3.2,128.9,18.2,13.47,0.04,-999.0
2021,11,19.63,23.02,16.44,4.61,9.2,25.45,15.78,2.12,-999.0
2021,21,16.9,19.65,14.35,2.61,22.6,17.9,12.23,0.01,-999.0
2021,17,16.91,18.3,15.66,9.74,252.2,17.37,11.83,0.56,-999.0
2021,18,17.01,18.49,15.46,11.18,248.7,17.41,11.43,0.32,-999.0
2021,19,16.23,17.57,15.38,9.91,220.1,13.54,11.39,0.08,-999.0
2021,20,16.69,18.98,14.74,4.97,219.8,16.02,12.17,0.0,-999.0
2021,8,17.28,19.62,15.87,3.41,208.9,17.77,13.87,0.01,-999.0
2021,7,17.07,19.04,15.5,4.32,203.3,16.02,13.25,0.05,-999.0
2021,6,16.89,18.43,15.43,6.28,204.2,16.09,13.16,0.88,-999.0
2021,12,17.6,18.94,15.74,5.34,211.9,19.99,13.38,8.52,-999.0
2021,5,17.51,19.51,16.04,2.91,140.8,17.26,14.67,1.25,-999.0
2022,1,17.28,19.03,15.29,2.5,111.4,18.13,15.41,0.59,-999.0
2022,15,17.97,19.41,16.93,3.2,60.4,19.81,16.63,3.38,-999.0
2022,16,17.77,19.84,16.47,3.93,144.1,18.35,14.87,1.28,-999.0
2022,9,16.65,18.6,14.53,4.26,61.8,16.92,11.54,0.07,-999.0
2022,8,16.4,17.56,14.68,6.41,194.8,16.27,11.8,5.63,-999.0
2022,7,17.48,18.33,16.72,5.93,41.4,18.75,16.6,66.26,-999.0
2022,14,17.26,18.08,16.45,6.72,50.5,17.8,16.1,3.58,-999.0
2022,13,17.06,18.41,15.79,5.83,50.7,17.21,14.41,1.0,-999.0
2022,12,16.71,18.39,15.21,3.66,108.4,15.76,13.06,0.43,-999.0
2022,11,16.65,18.64,14.85,2.82,178.5,15.79,13.26,0.03,-999.0
2022,10,16.44,17.82,15.48,3.42,193.0,15.65,12.8,1.22,-999.0
2022,17,18.03,20.09,16.43,4.1,246.2,19.98,15.62,0.08,-999.0
2022,4,16.68,18.18,15.68,2.25,132.0,15.55,13.23,0.92,-999.0
2022,3,16.58,18.37,15.49,3.4,171.0,15.37,13.12,0.4,-999.0
2022,2,16.9,19.51,15.5,3.1,176.1,17.98,13.32,4.13,-999.0
2022,5,16.72,18.48,15.58,4.7,111.3,15.8,13.48,0.71,-999.0
2022,20,17.35,19.75,14.76,1.9,83.7,17.17,12.79,0.0,-999.0
2022,19,17.14,18.86,15.35,4.73,184.2,15.81,13.05,0.22,-999.0
2022,18,17.05,18.06,16.26,6.06,217.1,16.3,14.18,0.42,-999.0
2022,21,18.35,21.21,15.73,2.63,26.0,20.34,14.88,0.0,-999.0
2022,6,16.86,17.74,15.9,7.42,71.7,16.75,14.52,8.81,-999.0
2023,2,17.23,19.48,15.61,5.0,347.4,21.72,15.06,13.47,-999.0
2023,17,17.25,18.81,15.61,6.62,33.3,18.85,14.22,0.26,-999.0
2023,18,16.81,18.04,15.49,6.19,229.9,17.82,13.56,4.56,-999.0
2023,19,16.16,17.35,15.12,6.86,219.0,14.53,13.07,0.41,-999.0
2023,20,16.85,18.46,15.44,3.74,228.5,17.35,13.76,0.38,-999.0
2023,14,18.32,19.83,16.98,7.05,25.1,20.33,16.94,0.0,-999.0
2023,5,15.82,17.49,14.26,3.99,180.1,14.76,12.11,1.23,-999.0
2023,6,16.11,17.91,14.18,3.19,129.7,15.1,12.15,0.15,-999.0
2023,4,15.99,17.66,14.82,3.86,195.4,15.12,12.68,0.49,-999.0
2023,1,17.32,18.64,16.1,6.66,27.1,19.38,16.52,0.13,-999.0
2023,3,15.99,17.42,14.95,4.69,186.9,14.71,12.98,1.12,-999.0
2023,7,16.51,17.92,15.32,5.03,38.3,16.44,14.12,0.8,-999.0
2023,9,16.95,18.81,15.52,4.86,206.8,18.21,14.12,0.42,-999.0
2023,8,17.15,18.95,15.29,5.25,29.7,19.12,14.85,0.14,-999.0
2023,15,17.1,18.09,15.16,7.27,229.8,18.25,12.92,0.0,-999.0
2023,16,16.5,18.42,14.57,4.28,85.7,15.56,12.44,0.0,-999.0
2023,13,18.05,19.86,16.22,3.8,34.7,19.29,16.2,0.0,-999.0
2023,21,16.86,18.88,15.26,2.27,190.3,17.79,14.71,5.93,-999.0
2023,11,16.91,19.0,14.63,4.24,38.7,18.6,13.25,0.0,-999.0
2023,12,17.71,19.85,15.51,2.43,17.2,18.41,14.78,0.0,-999.0
2023,10,16.63,18.4,14.99,3.42,168.6,15.46,13.29,0.06,-999.0
2024,19,18.2,19.7,16.91,7.83,226.8,17.49,14.42,0.65,-999.0
2024,15,18.84,21.17,16.64,3.85,62.9,17.78,13.38,0.02,-999.0
2024,9,18.21,20.45,16.29,3.82,147.4,16.23,14.22,0.15,-999.0
2024,11,19.59,22.21,17.57,4.65,273.8,21.72,15.89,0.09,-999.0
2024,8,17.94,18.7,16.96,6.87,177.2,17.91,15.27,13.46,-999.0
2024,5,18.47,20.98,16.31,2.51,190.6,16.95,13.03,0.01,-999.0
2024,2,18.15,20.37,16.31,3.13,96.5,18.13,15.32,0.89,-999.0
2024,1,17.79,20.01,16.25,2.61,161.4,18.1,15.18,0.29,-999.0
2024,3,19.13,21.52,17.54,3.62,151.2,20.38,15.71,2.2,-999.0
2024,4,18.24,20.25,16.53,5.2,192.1,16.96,13.16,0.67,-999.0
2024,6,19.28,21.87,16.62,2.86,51.5,20.18,14.9,0.07,-999.0
2024,17,19.22,20.5,17.77,5.48,12.8,21.15,15.78,17.39,-999.0
2024,16,19.93,22.33,17.42,6.87,15.7,22.57,16.49,0.0,-999.0
2024,13,18.73,20.28,17.42,6.96,225.3,17.61,14.97,0.32,-999.0
2024,14,18.31,20.07,16.8,6.48,216.4,16.08,13.5,0.02,-999.0
2024,12,19.73,22.65,17.49,2.4,55.2,21.46,17.15,2.36,-999.0
2024,10,19.57,22.67,17.07,3.16,276.7,22.83,15.29,0.09,-999.0
2024,7,19.18,21.35,17.91,4.62,20.8,21.35,17.77,8.24,-999.0
2024,18,18.33,20.92,16.88,5.25,276.5,18.99,14.29,4.88,-999.0
2024,21,17.94,19.47,16.91,5.81,210.7,16.72,13.92,1.88,-999.0
2024,20,18.78,22.16,16.89,2.22,37.6,20.81,14.41,0.07,-999.0
2025,11,18.81,20.83,17.45,5.98,32.5,20.46,17.52,0.23,-999.0
2025,1,16.45,18.46,15.15,6.33,251.6,18.07,13.0,0.87,-999.0
2025,10,18.41,20.65,16.25,4.69,38.6,20.58,16.12,0.02,-999.0
2025,9,18.0,20.55,16.05,3.25,16.6,19.58,15.79,0.0,-999.0
2025,16,18.3,20.56,16.41,6.15,235.7,19.73,13.76,0.24,-999.0
2025,4,18.04,21.41,15.34,3.16,29.6,22.95,15.61,0.17,-999.0
2025,2,16.38,18.47,14.64,5.5,229.3,16.41,12.71,0.07,-999.0
2025,3,16.87,19.32,14.42,3.17,55.8,17.79,13.25,0.01,-999.0
2025,7,16.48,18.67,14.7,3.95,192.7,15.13,12.17,0.0,-999.0
2025,6,16.71,17.62,15.33,6.69,215.3,18.17,12.47,0.55,-999.0
2025,21,19.16,22.14,16.97,2.35,89.0,21.63,16.22,0.33,-999.0
2025,17,18.02,20.01,16.4,5.2,196.8,17.14,14.08,0.02,-999.0
2025,13,18.41,20.37,17.01,4.49,218.1,18.78,15.2,1.83,-999.0
2025,14,18.08,20.19,16.64,3.48,165.1,17.2,14.71,0.38,-999.0
2025,15,17.97,19.45,16.44,5.99,18.2,20.05,15.2,4.6,-999.0
2025,12,18.55,20.1,17.63,4.7,36.3,19.98,17.86,7.54,-999.0
2025,20,18.95,21.77,17.03,2.46,18.6,20.69,16.58,0.12,-999.0
2025,18,18.26,20.25,16.26,4.69,62.1,17.56,13.95,0.0,-999.0
2025,19,18.4,20.58,16.6,6.34,32.4,19.09,14.92,0.0,-999.0
2025,8,16.97,19.36,14.33,4.24,35.2,17.71,12.65,0.0,-999.0
2025,5,17.58,19.66,16.35,3.41,93.2,18.02,16.68,2.01,-999.0
