-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/31/2023 through 12/31/2023 
Location: Latitude  42.3554   Longitude -71.0605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 71.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/hr) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/hour) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,PRECTOTCORR,RH2M
2023,12,31,0,0.0,-1.76,0.0,93.44
2023,12,31,1,0.0,-2.14,0.0,94.69
2023,12,31,2,0.0,-2.52,0.0,95.94
2023,12,31,3,0.0,-2.78,0.0,96.44
2023,12,31,4,0.0,-3.14,0.0,98.12
2023,12,31,5,0.0,-3.37,0.0,99.25
2023,12,31,6,0.0,-3.36,0.0,96.94
2023,12,31,7,0.06,-2.96,0.0,94.38
2023,12,31,8,0.23,-0.5,0.0,80.81
2023,12,31,9,0.51,1.15,0.0,66.31
2023,12,31,10,0.82,2.19,0.0,59.12
2023,12,31,11,1.01,2.9,0.0,56.44
2023,12,31,12,1.09,3.36,0.0,55.44
2023,12,31,13,0.92,3.46,0.0,56.25
2023,12,31,14,0.62,3.04,0.0,60.69
2023,12,31,15,0.27,1.05,0.0,80.12
2023,12,31,16,0.0,-1.85,0.01,88.06
2023,12,31,17,0.0,-2.44,0.01,91.31
2023,12,31,18,0.0,-2.83,0.01,93.5
2023,12,31,19,0.0,-3.19,0.01,95.88
2023,12,31,20,0.0,-3.35,0.01,96.81
2023,12,31,21,0.0,-3.15,0.01,94.69
2023,12,31,22,0.0,-2.35,0.0,91.44
2023,12,31,23,0.0,-2.17,0.0,91.5
