-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  42.3554   Longitude -71.0605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 71.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
TS_MAX                MERRA-2 Earth Skin Temperature Maximum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
GWETPROF              MERRA-2 Profile Soil Moisture (1) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PRECTOTCORR_SUM       MERRA-2 Precipitation Corrected Sum (mm) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1981,-8.29,0.26,1.4,7.68,13.12,18.9,22.04,20.73,16.29,8.86,4.25,-2.45,8.6
TS,1982,-8.18,-3.23,0.6,5.22,13.04,15.55,20.4,18.76,16.37,10.18,6.63,1.73,8.15
TS,1983,-2.66,-2.56,2.01,6.9,11.99,18.12,21.1,20.92,18.43,10.83,5.33,-1.8,9.12
TS,1984,-5.67,0.27,-2.32,6.21,12.12,18.33,20.17,20.97,15.53,11.42,5.19,1.18,8.63
TS,1985,-5.65,-2.26,1.83,6.92,12.73,16.27,21.26,20.15,16.44,10.94,5.29,-2.22,8.53
TS,1986,-2.95,-4.85,1.22,7.21,13.01,16.16,19.52,19.22,15.62,10.4,3.3,-0.2,8.22
TS,1987,-4.99,-5.85,1.51,6.56,12.12,17.88,21.32,20.05,16.13,9.27,4.18,-0.12,8.26
TS,1988,-5.47,-2.65,1.25,6.17,12.56,17.06,21.93,21.86,15.87,8.8,5.46,-1.2,8.5
TS,1989,-1.72,-3.2,0.12,5.4,13.19,17.9,20.39,19.69,16.56,10.42,4.47,-7.28,8.05
TS,1990,-0.58,-2.18,2.0,6.64,10.8,17.38,20.48,20.86,16.3,12.49,5.65,1.96,9.39
TS,1991,-3.75,-0.99,2.4,7.72,15.03,18.36,21.69,21.0,15.51,11.24,4.81,-0.03,9.48
TS,1992,-3.24,-2.33,0.04,4.83,11.34,17.29,19.28,19.48,16.23,9.31,4.04,-0.31,8.02
TS,1993,-2.78,-6.35,-1.11,6.4,13.2,17.65,21.97,21.82,16.86,9.43,4.99,-0.34,8.57
TS,1994,-7.83,-5.6,0.27,7.31,11.53,19.12,23.09,20.27,15.94,10.36,6.98,1.18,8.62
TS,1995,-0.33,-3.85,1.57,5.59,11.54,18.08,22.96,21.44,16.37,12.37,4.04,-3.09,8.97
TS,1996,-4.71,-3.32,-0.9,5.98,11.98,18.12,19.97,20.88,16.8,9.79,2.88,1.91,8.32
TS,1997,-2.99,-0.42,0.6,5.74,11.0,17.64,21.24,20.47,16.84,10.44,3.58,-0.32,8.7
TS,1998,-1.06,0.07,2.66,7.49,13.91,17.09,20.8,20.65,17.98,10.85,4.99,2.17,9.86
TS,1999,-2.24,-0.97,1.52,7.38,13.55,20.37,23.59,21.3,18.17,9.99,6.94,0.99,10.11
TS,2000,-4.19,-1.68,3.26,6.46,12.53,17.77,19.17,19.67,16.6,10.71,5.04,-2.17,8.62
TS,2001,-3.95,-1.85,-0.17,6.48,13.48,19.7,20.06,22.86,17.81,11.95,7.48,2.97,9.8
TS,2002,0.25,0.4,2.97,8.62,12.16,17.47,22.72,23.27,19.02,10.38,4.55,-1.17,10.11
TS,2003,-6.95,-5.1,1.01,4.71,11.34,17.1,21.46,21.86,17.61,10.14,5.85,0.12,8.33
TS,2004,-6.92,-2.75,1.85,7.1,13.51,17.3,20.61,20.83,17.27,10.7,5.29,0.1,8.77
TS,2005,-4.6,-2.24,-0.5,7.8,10.2,18.92,21.35,22.7,19.38,11.47,6.23,-1.19,9.18
TS,2006,0.38,-1.54,1.35,7.79,12.26,18.15,22.12,19.96,16.52,10.79,7.65,3.19,9.95
TS,2007,-1.1,-4.91,0.69,5.51,13.51,17.9,21.0,21.76,18.45,13.83,4.63,-1.44,9.24
TS,2008,-1.78,-1.8,0.93,7.89,11.99,19.17,22.38,19.79,17.21,10.2,4.86,0.4,9.3
TS,2009,-6.24,-2.24,1.25,7.87,13.55,16.58,19.37,21.49,16.09,9.76,7.18,-0.92,8.7
TS,2010,-3.71,-1.45,4.07,9.2,14.93,19.51,23.73,21.94,19.04,11.27,5.21,-1.11,10.28
TS,2011,-4.91,-3.92,1.44,7.89,13.52,17.88,22.73,21.17,17.98,11.58,7.44,2.37,9.68
TS,2012,-0.67,0.44,5.65,8.94,15.07,17.81,23.12,22.48,17.35,12.56,4.13,2.3,10.81
TS,2013,-1.92,-1.94,1.2,7.23,13.49,18.74,23.16,20.48,16.65,11.85,4.4,-0.86,9.44
TS,2014,-4.04,-4.33,-1.24,6.48,13.23,18.5,21.67,20.43,17.83,12.5,4.05,1.87,8.99
TS,2015,-4.78,-9.25,-1.69,6.76,15.29,17.11,21.98,22.79,19.94,10.82,7.3,5.34,9.41
TS,2016,-1.54,-0.6,3.75,6.37,12.99,18.82,23.56,23.73,19.1,11.91,6.17,0.25,10.41
TS,2017,0.14,-0.15,-0.4,8.69,12.3,18.15,20.73,20.61,18.71,14.9,5.08,-2.1,9.77
TS,2018,-3.62,0.62,0.99,5.26,14.83,17.98,22.8,23.08,18.87,10.65,3.8,0.16,9.67
