-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2013 through 12/31/2022 
Location: Latitude  42.3554   Longitude -71.0605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 71.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS                    MERRA-2 Earth Skin Temperature (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
TS_MAX                MERRA-2 Earth Skin Temperature Maximum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
GWETPROF              MERRA-2 Profile Soil Moisture (1) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,2013,-1.92,-1.94,1.2,7.23,13.49,18.74,23.16,20.48,16.65,11.85,4.4,-0.86,9.44
TS,2014,-4.04,-4.33,-1.24,6.48,13.23,18.5,21.67,20.43,17.83,12.5,4.05,1.87,8.99
TS,2015,-4.78,-9.25,-1.69,6.76,15.29,17.11,21.98,22.79,19.94,10.82,7.3,5.34,9.41
TS,2016,-1.54,-0.6,3.75,6.37,12.99,18.82,23.56,23.73,19.1,11.91,6.17,0.25,10.41
TS,2017,0.14,-0.15,-0.4,8.69,12.3,18.15,20.73,20.61,18.71,14.9,5.08,-2.1,9.77
TS,2018,-3.62,0.62,0.99,5.26,14.83,17.98,22.8,23.08,18.87,10.65,3.8,0.16,9.67
TS,2019,-3.11,-2.24,0.62,7.73,12.19,18.05,22.91,21.58,17.9,12.24,3.4,-0.02,9.33
TS,2020,-0.2,-0.69,3.55,5.58,12.2,19.23,23.87,23.1,18.31,11.92,7.41,1.13,10.49
TS,2021,-1.84,-2.33,2.74,7.87,13.51,20.22,20.35,22.15,18.47,13.65,5.4,1.98,10.26
TS,2022,-3.83,-1.42,2.74,7.55,14.2,18.51,23.93,24.21,17.82,11.98,7.63,1.43,10.47
T2M,2013,-2.51,-2.31,1.03,7.38,13.8,19.04,23.46,20.71,16.77,11.86,3.98,-1.41,9.39
