-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  42.3554   Longitude -71.0605 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 71.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
TS_MAX                MERRA-2 Earth Skin Temperature Maximum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
GWETPROF              MERRA-2 Profile Soil Moisture (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,TS,TS_MAX,PRECTOTCORR,RH2M,GWETPROF
2023,1,6.02,6.0,9.14,5.85,8.84,2.78,92.19,0.73
2023,2,5.34,1.86,8.42,1.91,8.26,0.0,93.44,0.73
2023,3,1.51,2.23,4.3,1.79,4.18,11.66,97.94,0.73
2023,4,3.06,3.46,5.97,3.64,6.01,6.24,97.25,0.74
2023,5,3.19,4.07,5.96,4.09,5.8,3.21,98.06,0.75
2023,6,2.3,0.05,1.26,0.5,1.78,8.15,97.31,0.75
2023,7,6.42,0.23,4.99,0.65,5.06,0.12,90.38,0.75
2023,8,9.24,-2.88,2.17,-2.2,2.79,0.0,79.94,0.75
2023,9,7.84,-0.86,3.62,-0.39,3.82,0.06,90.44,0.75
2023,10,7.87,-1.05,2.58,-0.52,2.95,0.01,81.88,0.75
2023,11,9.03,-3.24,0.1,-2.51,0.91,0.1,84.38,0.75
2023,12,1.72,1.66,5.76,1.65,5.66,12.9,95.94,0.75
2023,13,2.5,8.49,12.08,8.13,11.65,8.58,95.0,0.77
2023,14,2.46,0.15,2.64,0.68,3.02,6.4,86.0,0.77
2023,15,3.74,-1.59,-0.16,-0.88,0.42,2.89,78.31,0.77
2023,16,3.48,-1.93,-0.84,-1.2,-0.22,3.91,87.62,0.77
2023,17,9.09,0.26,4.95,0.56,4.68,0.17,86.31,0.77
2023,18,6.61,2.67,6.8,2.76,6.55,0.71,92.5,0.77
2023,19,3.39,0.46,2.59,0.83,2.76,18.98,91.5,0.77
2023,20,2.61,-0.14,1.0,0.18,1.3,10.2,98.56,0.79
2023,21,3.18,-4.63,0.1,-4.98,0.72,0.15,96.19,0.79
2023,22,2.89,-2.85,0.97,-3.74,1.08,8.81,96.56,0.79
2023,23,2.17,-0.15,0.72,0.27,1.05,28.89,98.44,0.8
2023,24,5.63,-2.08,0.89,-1.55,1.14,0.04,97.94,0.8
2023,25,3.26,-1.06,1.84,-0.73,1.79,7.24,96.5,0.81
2023,26,4.87,2.21,4.19,2.1,3.97,28.14,92.88,0.86
2023,27,10.3,-0.81,3.02,-0.86,3.32,0.02,79.0,0.87
2023,28,10.19,1.39,6.33,1.53,6.11,0.01,90.81,0.87
2023,29,4.99,3.01,6.12,2.4,5.87,0.18,94.12,0.87
2023,30,8.03,3.27,8.19,2.96,7.93,0.14,90.06,0.87
2023,31,7.4,-1.81,1.32,-1.15,1.85,0.85,78.75,0.86
2023,32,11.7,-4.23,-0.96,-3.23,0.05,0.2,66.31,0.86
2023,33,9.69,-3.07,1.51,-2.33,1.98,0.0,80.88,0.85
2023,34,12.96,-11.97,-3.13,-10.17,-2.45,0.03,75.69,0.85
2023,35,12.49,-17.59,-11.43,-15.11,-10.06,0.0,80.81,0.85
2023,36,9.01,-1.63,5.14,-1.17,5.05,0.01,90.12,0.84
2023,37,7.89,1.15,4.42,1.31,4.41,0.0,92.38,0.84
2023,38,12.48,-2.02,1.4,-1.3,2.19,1.59,78.25,0.84
2023,39,10.07,1.58,5.88,1.67,5.76,0.05,88.75,0.84
2023,40,5.05,2.5,6.83,2.43,6.62,0.58,91.56,0.84
2023,41,12.03,6.46,10.76,6.17,10.29,0.12,87.38,0.84
2023,42,13.8,0.93,4.87,0.84,5.0,0.0,73.12,0.84
2023,43,11.12,1.76,7.73,1.1,7.59,0.0,78.06,0.83
2023,44,9.44,2.2,6.01,2.09,6.07,0.14,90.62,0.83
2023,45,12.53,2.94,7.9,2.32,7.75,0.08,80.94,0.82
2023,46,10.27,5.23,10.8,5.14,10.4,0.02,91.38,0.82
2023,47,7.53,8.37,12.32,7.6,11.75,0.15,88.44,0.82
2023,48,2.7,5.04,11.64,4.98,11.15,3.18,91.81,0.81
2023,49,15.07,-1.9,3.26,-1.11,3.69,0.0,73.25,0.81
2023,50,8.07,1.44,4.57,1.72,4.56,0.07,87.75,0.81
2023,51,10.03,5.55,10.85,5.31,10.42,0.23,92.69,0.81
2023,52,3.62,2.26,4.44,2.44,4.62,4.8,91.25,0.81
2023,53,8.93,1.45,5.33,1.65,5.62,6.47,84.06,0.81
2023,54,2.65,-1.28,-0.24,-0.86,0.24,11.69,96.06,0.81
2023,55,12.15,-4.35,-0.77,-3.54,-0.35,0.52,88.06,0.81
2023,56,7.24,-9.75,-6.92,-8.83,-5.04,0.6,80.06,0.81
2023,57,4.11,-3.85,0.71,-3.78,1.08,0.97,93.94,0.81
2023,58,13.91,-4.16,-0.45,-3.6,0.47,0.19,86.38,0.81
2023,59,4.54,-0.44,1.44,-0.24,1.64,9.74,96.19,0.81
2023,60,11.2,-0.45,3.68,-0.38,3.26,0.82,86.94,0.82
2023,61,4.93,1.51,2.96,1.57,3.02,9.12,96.19,0.83
2023,62,15.16,0.65,5.01,0.64,4.64,0.16,78.38,0.84
2023,63,4.87,-0.02,1.15,0.2,1.4,21.86,96.75,0.84
2023,64,10.56,-0.31,3.62,-0.3,3.69,0.03,91.69,0.85
2023,65,18.21,1.56,4.56,1.7,4.57,0.0,78.62,0.85
2023,66,12.62,-1.64,0.51,-1.07,1.04,0.07,79.56,0.84
2023,67,13.18,-0.22,5.22,0.21,5.23,0.02,83.81,0.84
2023,68,16.9,1.48,6.73,1.72,6.63,0.01,84.12,0.84
2023,69,17.48,2.44,7.99,2.05,7.69,0.13,79.38,0.84
2023,70,6.97,1.66,3.4,1.76,3.59,1.41,90.31,0.84
2023,71,18.56,1.44,6.67,1.53,6.93,0.01,82.94,0.83
2023,72,5.4,3.39,6.8,3.05,6.74,9.62,86.62,0.83
2023,73,3.68,1.41,2.36,1.59,2.33,59.38,96.38,0.87
2023,74,12.22,1.24,2.77,1.45,2.9,1.16,88.94,0.88
2023,75,16.14,1.45,5.82,1.51,5.63,0.0,82.5,0.88
2023,76,10.79,4.48,9.19,4.01,8.86,0.02,89.25,0.88
2023,77,15.84,4.23,8.98,4.12,8.79,0.06,81.94,0.88
2023,78,17.67,-1.39,1.02,-0.79,1.48,0.0,69.81,0.88
2023,79,19.09,1.58,7.82,1.84,7.58,0.0,77.75,0.87
2023,80,18.87,4.33,11.33,4.3,10.94,0.0,80.31,0.86
2023,81,18.06,5.68,11.36,5.61,11.29,0.01,83.31,0.85
2023,82,6.58,8.49,11.93,8.23,11.44,0.45,94.31,0.85
2023,83,15.91,4.64,8.48,4.55,8.25,0.0,81.0,0.84
2023,84,3.67,1.76,4.1,1.98,4.3,3.93,90.56,0.84
2023,85,17.66,5.77,10.6,5.62,10.29,0.8,80.44,0.84
2023,86,17.57,5.87,12.77,5.65,12.05,5.42,75.69,0.84
2023,87,9.2,3.99,8.02,4.07,8.03,3.39,83.94,0.84
2023,88,22.52,3.75,11.01,3.97,10.87,0.02,72.31,0.84
2023,89,24.04,-0.14,3.46,0.37,3.88,0.27,65.0,0.84
2023,90,16.58,2.24,7.8,2.58,7.98,4.91,76.44,0.83
2023,91,7.5,8.73,14.62,8.35,13.9,10.64,97.25,0.84
2023,92,24.18,2.6,9.24,2.79,8.73,3.24,67.38,0.84
2023,93,22.37,3.95,9.87,3.82,9.62,0.05,67.69,0.84
2023,94,15.42,9.01,16.01,8.72,15.36,0.89,85.5,0.83
2023,95,6.18,4.98,6.55,5.08,6.58,0.85,86.5,0.83
2023,96,11.15,9.51,17.55,9.28,16.8,0.64,90.19,0.82
