Cloud,Humidity,Precip,Temp,Wind,Wbgt,class
42,57,0.0,73,3,70,0
100,93,0.01,75,7,74,0
100,96,0.01,73,7,73,0
100,93,0.01,73,6,72,0
99,87,0.04,75,7,73,0
99,81,0.0,71,5,68,0
97,81,0.01,77,13,74,0
100,90,0.01,73,6,73,0
99,87,0.06,75,7,73,0
98,81,0.01,75,14,72,0
99,93,0.01,66,7,65,0
99,76,0.01,73,15,70,0
96,81,0.02,75,12,72,0
100,87,0.01,75,6,74,0
100,90,0.02,75,6,74,0
99,81,0.01,77,8,75,0
100,93,0.01,75,6,75,0
91,84,0.0,77,7,76,0
100,90,0.01,77,7,75,0
97,87,0.02,75,8,74,0
91,84,0.0,77,7,76,0
97,93,0.02,75,7,74,0
98,90,0.01,75,9,75,0
98,93,0.03,73,7,73,0
98,87,0.02,73,8,72,0
93,87,0.0,78,14,77,1
96,90,0.02,77,14,76,0
96,90,0.02,75,9,74,0
97,93,0.07,73,10,72,0
94,90,0.04,78,13,78,1
94,90,0.0,77,12,77,1
96,87,0.01,78,11,77,1
98,82,1.51,84,15,81,1
90,87,0.56,82,20,82,2
98,82,0.37,82,16,80,1
95,90,1.39,80,15,79,1
96,87,0.59,80,16,79,1
91,85,0.99,82,18,81,1
74,85,0.66,84,19,83,2
93,90,1.29,80,16,79,1
47,74,0.02,86,22,83,2
83,74,0.06,82,17,79,1
78,85,0.35,84,19,83,2
67,87,0.79,84,23,82,2
31,63,0.0,86,18,82,2
36,61,0.0,87,14,84,2
49,64,0.0,82,18,78,1
36,51,0.0,86,13,81,1
55,55,0.0,89,16,83,2
55,59,0.0,89,14,84,2
78,70,0.24,89,12,87,4
52,67,0.02,89,15,86,3
35,63,0.03,89,12,86,3
36,75,0.08,89,15,88,4
40,74,0.26,87,14,85,3
61,80,0.17,89,12,88,4
50,72,0.05,91,15,87,4
63,75,0.12,89,14,88,4
54,70,0.08,89,13,87,4
34,72,0.09,89,15,88,4
59,77,0.1,89,13,87,4
74,82,0.17,87,16,86,3
77,75,0.17,89,15,87,4
35,75,0.03,89,15,86,3
81,80,0.12,89,16,86,3
78,70,0.07,91,13,87,4
79,77,0.08,89,12,87,4
61,68,0.11,89,12,86,3
34,70,0.01,87,14,86,3
41,75,0.1,89,14,87,4
40,75,0.32,89,14,86,3
2,18,0.0,93,2,78,1
1,29,0.0,89,6,78,1
0,26,0.0,89,4,78,1
2,38,0.0,86,7,79,1
44,41,0.0,91,3,84,2
5,42,0.0,82,9,75,0
4,44,0.0,86,5,80,1
1,44,0.0,84,10,76,0
3,50,0.0,82,10,77,1
12,42,0.0,82,12,76,0
6,14,0.0,109,2,88,4
6,13,0.0,107,4,87,4
5,21,0.0,82,10,69,0
2,9,0.0,109,6,87,4
3,11,0.0,100,7,81,1
6,16,0.0,95,7,79,1
2,16,0.0,100,5,83,2
5,16,0.0,100,4,82,2
3,9,0.0,104,3,84,2
1,10,0.0,104,2,84,2
2,9,0.0,107,5,86,3
2,15,0.0,91,4,76,0
5,15,0.0,107,2,87,4
1,12,0.0,107,4,86,3
3,14,0.0,109,5,88,4
2,11,0.0,109,4,87,4
4,16,0.0,102,6,84,2
3,11,0.0,107,4,86,3
3,10,0.0,105,5,85,3
1,10,0.0,104,2,84,2
