Program runtime,Data timestamp,Local date,Local hr,City,Cloud,Humidity,Precip,Temp,Wbgt,Wind
2024-09-28T12:36:15,2024-09-28T13:00:00-04:00,2024-09-28,13,"Boston, MA",72,73,0.0,68,66,8
2024-09-28T12:36:17,2024-09-28T13:00:00-04:00,2024-09-28,13,"Bedford, MA",76,68,0.0,68,66,6
2024-09-28T12:36:18,2024-09-28T13:00:00-04:00,2024-09-28,13,"Franklin, MA",59,70,0.0,68,67,5
2024-09-28T12:36:20,2024-09-28T13:00:00-04:00,2024-09-28,13,"Worcester, MA",60,68,0.0,68,66,6
2024-09-28T12:36:22,2024-09-28T13:00:00-04:00,2024-09-28,13,"Springfield, MA",69,63,0.0,71,68,4
2024-09-28T12:36:23,2024-09-28T13:00:00-04:00,2024-09-28,13,"Hartford, CT",69,65,0.0,71,68,5
2024-09-28T12:36:24,2024-09-28T13:00:00-04:00,2024-09-28,13,"New York, NY",100,87,0.05,68,66,12
2024-09-28T12:36:25,2024-09-28T13:00:00-04:00,2024-09-28,13,"Albany, NY",28,71,0.0,73,73,3
2024-09-28T12:36:26,2024-09-28T13:00:00-04:00,2024-09-28,13,"Providence, RI",60,73,0.0,69,68,5
2024-09-28T12:36:26,2024-09-28T13:00:00-04:00,2024-09-28,13,"Atlantic City, NJ",82,87,0.03,77,77,7
2024-09-28T12:36:27,2024-09-28T13:00:00-04:00,2024-09-28,13,"Cape May, NJ",52,100,0.01,75,76,7
2024-09-28T12:36:28,2024-09-28T13:00:00-04:00,2024-09-28,13,"Princeton, NJ",98,96,0.06,69,70,8
2024-09-28T12:36:29,2024-09-28T13:00:00-04:00,2024-09-28,13,"Trenton, NJ",97,100,0.08,71,71,7
2024-09-28T12:36:31,2024-09-28T13:00:00-04:00,2024-09-28,13,"Philadelphia, PA",91,100,0.04,73,73,6
2024-09-28T12:36:32,2024-09-28T13:00:00-04:00,2024-09-28,13,"Lancaster, PA",98,87,0.04,73,72,8
2024-09-28T12:36:33,2024-09-28T13:00:00-04:00,2024-09-28,13,"Riverside, PA",99,81,0.03,73,70,7
2024-09-28T12:36:34,2024-09-28T13:00:00-04:00,2024-09-28,13,"Pittsburgh, PA",92,69,0.0,77,73,6
2024-09-28T12:36:35,2024-09-28T13:00:00-04:00,2024-09-28,13,"Oxford, PA",88,93,0.07,73,74,6
2024-09-28T12:36:35,2024-09-28T13:00:00-04:00,2024-09-28,13,"York, PA",87,81,0.05,75,74,7
2024-09-28T12:36:36,2024-09-28T13:00:00-04:00,2024-09-28,13,"Derry, PA",70,66,0.0,77,74,9
2024-09-28T12:36:38,2024-09-28T13:00:00-04:00,2024-09-28,13,"Bear Rocks, PA",100,93,0.11,66,66,8
2024-09-28T12:36:38,2024-09-28T13:00:00-04:00,2024-09-28,13,"Breakneck, PA",73,58,0.0,77,73,7
2024-09-28T12:36:40,2024-09-28T13:00:00-04:00,2024-09-28,13,"South Uniontown, PA",81,58,0.0,78,73,5
2024-09-28T12:36:42,2024-09-28T13:00:00-04:00,2024-09-28,13,"Erie, PA",90,81,0.05,73,71,7
2024-09-28T12:36:43,2024-09-28T13:00:00-04:00,2024-09-28,13," Harrisburg, PA",99,87,0.06,73,71,7
2024-09-28T12:36:44,2024-09-28T13:00:00-04:00,2024-09-28,13,"Wilmington, DE",83,90,0.08,75,76,5
2024-09-28T12:36:46,2024-09-28T13:00:00-04:00,2024-09-28,13,"Glasgow, DE",86,90,0.04,77,76,5
2024-09-28T12:36:46,2024-09-28T13:00:00-04:00,2024-09-28,13,"Georgetown, DE",29,59,0.0,84,81,6
2024-09-28T12:36:47,2024-09-28T13:00:00-04:00,2024-09-28,13,"Dover, DE",61,76,0.0,80,79,4
2024-09-28T12:36:48,2024-09-28T13:00:00-04:00,2024-09-28,13,"Berlin, MD",30,65,0.0,82,80,6
2024-09-28T12:36:49,2024-09-28T13:00:00-04:00,2024-09-28,13,"Denton, MD",34,67,0.03,82,81,5
2024-09-28T12:36:50,2024-09-28T13:00:00-04:00,2024-09-28,13,"Baltimore, MD",37,62,0.04,82,80,6
2024-09-28T12:36:51,2024-09-28T13:00:00-04:00,2024-09-28,13,"Berlin, MD",30,65,0.0,82,80,6
2024-09-28T12:36:52,2024-09-28T13:00:00-04:00,2024-09-28,13,"Edgewood, MD",52,84,0.05,78,79,6
2024-09-28T12:36:53,2024-09-28T13:00:00-04:00,2024-09-28,13,"Annapolis, MD",17,79,0.03,77,78,7
2024-09-28T12:36:54,2024-09-28T13:00:00-04:00,2024-09-28,13,"Frederick, MD",24,79,0.01,78,79,5
2024-09-28T12:36:55,2024-09-28T13:00:00-04:00,2024-09-28,13,"Hagerstown, MD",30,74,0.01,78,78,7
2024-09-28T12:36:56,2024-09-28T13:00:00-04:00,2024-09-28,13,"Cleveland, OH",92,79,0.04,75,73,6
2024-09-28T12:36:56,2024-09-28T13:00:00-04:00,2024-09-28,13,"Columbus, OH",97,87,0.03,68,67,6
2024-09-28T12:36:58,2024-09-28T13:00:00-04:00,2024-09-28,13,"Cincinnati, OH",100,100,0.33,66,66,7
2024-09-28T12:36:59,2024-09-28T13:00:00-05:00,2024-09-28,12,"Chicago, IL",93,84,0.18,68,67,19
2024-09-28T12:36:59,2024-09-28T13:00:00-05:00,2024-09-28,12,"Springfield, IL",72,71,0.0,73,71,14
2024-09-28T12:37:01,2024-09-28T13:00:00-04:00,2024-09-28,13,"Detroit, MI",99,100,0.4,66,66,8
2024-09-28T12:37:02,2024-09-28T13:00:00-04:00,2024-09-28,13,"Lansing, MI",95,90,0.08,66,66,10
2024-09-28T12:37:03,2024-09-28T13:00:00-05:00,2024-09-28,12,"Minneapolis, MN",1,42,0.0,80,74,5
2024-09-28T12:37:03,2024-09-28T13:00:00-05:00,2024-09-28,12,"Saint Paul, MN",2,42,0.0,80,74,5
2024-09-28T12:37:05,2024-09-28T13:00:00-05:00,2024-09-28,12,"Milwaukee, WI",45,61,0.0,73,70,15
2024-09-28T12:41:06,2024-09-28T13:00:00-04:00,2024-09-28,13,"Norfolk, VA",12,58,0.0,82,79,5
2024-09-28T12:41:07,2024-09-28T13:00:00-04:00,2024-09-28,13,"Richmond, VA",17,62,0.0,80,78,5
2024-09-28T12:41:07,2024-09-28T13:00:00-04:00,2024-09-28,13,"Reston, VA",13,69,0.0,80,78,6
2024-09-28T12:41:08,2024-09-28T13:00:00-04:00,2024-09-28,13,"Winchester, VA",13,69,0.0,77,76,7
