Local hr,Cloud,Humidity,Precip,Temp,Wind,Wbgt,class,alert color
15,22,66,0.03,91,8,86,4,Black
16,7,16,0.0,82,6,64,0,Green
13,18,66,0.0,91,6,88,4,Black
13,0,34,0.0,87,7,76,1,Yellow
15,2,56,0.0,84,7,79,1,Yellow
16,74,87,0.01,80,9,78,1,Yellow
18,9,33,0.0,57,6,47,0,Green
17,27,34,0.0,66,11,57,0,Green
8,4,14,0.0,98,7,81,2,Orange
15,5,19,0.0,93,3,76,1,Yellow
9,1,21,0.0,93,7,79,1,Yellow
16,100,90,0.03,71,8,69,0,Green
13,71,65,0.0,84,11,79,1,Yellow
12,8,10,0.0,109,5,84,3,Red
10,29,82,0.04,84,5,82,2,Orange
14,1,12,0.0,105,5,82,2,Orange
16,49,72,0.01,87,7,84,3,Red
11,43,23,0.0,93,11,78,1,Yellow
13,6,13,0.0,107,4,84,3,Red
21,33,83,0.0,84,7,81,2,Orange
14,45,64,0.0,91,4,88,4,Black
17,25,49,0.0,60,7,54,0,Green
17,6,9,0.0,95,3,72,0,Green
13,29,73,0.04,89,6,88,4,Black
9,10,20,0.0,80,3,67,0,Green
13,6,10,0.0,111,4,86,4,Black
10,3,7,0.0,100,5,80,1,Yellow
12,43,73,0.01,89,9,87,4,Black
16,51,65,0.05,89,3,84,3,Red
8,0,29,0.0,80,8,69,0,Green
18,9,16,0.0,82,4,64,0,Green
12,5,8,0.0,104,6,81,2,Orange
17,53,75,0.0,84,14,81,2,Orange
13,40,62,0.02,91,7,88,4,Black
11,15,67,0.0,86,6,83,2,Orange
13,40,68,0.0,91,5,88,4,Black
13,6,14,0.0,100,9,78,1,Yellow
11,6,9,0.0,113,6,88,4,Black
14,54,54,0.0,91,7,85,3,Red
14,57,61,0.01,89,3,85,3,Red
11,5,9,0.0,113,7,88,4,Black
15,54,53,0.0,73,7,67,0,Green
14,4,9,0.0,109,4,84,3,Red
9,6,13,0.0,104,11,83,2,Orange
12,5,15,0.0,102,5,82,2,Orange
14,10,13,0.0,98,7,77,1,Yellow
11,1,28,0.0,91,5,80,1,Yellow
19,28,68,0.06,89,5,82,2,Orange
8,1,9,0.0,102,3,81,2,Orange
14,26,61,0.0,91,7,88,4,Black
10,1,18,0.0,91,4,77,1,Yellow
8,4,29,0.0,87,1,76,1,Yellow
19,15,69,0.01,82,11,76,1,Yellow
21,34,77,0.0,82,4,78,1,Yellow
13,2,44,0.0,87,5,81,2,Orange
16,36,66,0.0,91,6,86,4,Black
19,92,88,0.03,77,11,74,0,Green
11,3,55,0.0,87,4,83,2,Orange
11,22,68,0.0,73,9,72,0,Green
10,3,63,0.0,84,4,81,2,Orange
14,42,72,0.05,89,14,87,4,Black
14,4,8,0.0,102,4,78,1,Yellow
15,79,79,0.01,75,11,72,0,Green
10,4,63,0.0,84,6,81,2,Orange
14,6,9,0.0,98,9,74,0,Green
13,20,72,0.0,87,5,86,4,Black
15,5,34,0.0,93,4,81,2,Orange
14,3,8,0.0,104,5,80,1,Yellow
18,7,13,0.0,98,5,75,0,Green
12,15,56,0.0,86,7,82,2,Orange
11,5,39,0.0,68,13,62,0,Green
12,4,18,0.0,98,6,81,2,Orange
13,44,68,0.01,87,8,85,3,Red
17,5,11,0.0,96,6,73,0,Green
17,34,72,0.0,84,8,80,1,Yellow
13,43,72,0.05,87,8,86,4,Black
12,9,16,0.0,82,5,68,0,Green
14,3,11,0.0,109,8,85,3,Red
17,82,41,0.0,84,10,73,0,Green
15,5,20,0.0,104,2,84,3,Red
9,10,10,0.0,95,7,77,1,Yellow
15,37,64,0.15,93,6,88,4,Black
13,48,68,0.39,89,8,85,3,Red
17,83,90,0.18,71,7,70,0,Green
8,8,31,0.0,84,1,74,0,Green
17,51,64,0.22,91,2,84,3,Red
10,94,90,0.15,78,6,77,1,Yellow
14,16,64,0.0,89,3,87,4,Black
16,15,75,0.0,91,6,88,4,Black
14,43,68,0.0,91,9,87,4,Black
13,5,10,0.0,113,6,87,4,Black
12,6,11,0.0,109,6,86,4,Black
14,4,7,0.0,111,5,84,3,Red
9,6,16,0.0,80,2,67,0,Green
15,7,13,0.0,93,10,71,0,Green
12,0,11,0.0,107,4,85,3,Red
10,0,33,0.0,86,4,77,1,Yellow
8,15,84,0.0,64,5,64,0,Green
15,9,34,0.0,95,7,83,2,Orange
11,7,13,0.0,109,5,88,4,Black
20,24,82,0.0,84,4,80,1,Yellow
15,6,22,0.0,104,2,84,3,Red
12,4,66,0.0,89,5,87,4,Black
12,2,9,0.0,111,4,86,4,Black
12,2,20,0.0,100,5,83,2,Orange
10,3,12,0.0,104,2,85,3,Red
13,3,40,0.0,89,2,81,2,Orange
19,52,82,0.0,80,9,76,1,Yellow
13,23,80,0.01,87,8,87,4,Black
13,2,29,0.0,93,5,82,2,Orange
