Cloud,Humidity,Precip,Temp,Wind,Wbgt,class,alert color
12,14,0.0,100,6,77,1,Yellow
58,68,0.12,89,8,87,4,Black
35,71,0.01,89,5,83,2,Orange
2,50,0.0,89,5,84,2,Orange
3,8,0.0,111,7,87,4,Black
3,22,0.0,80,5,68,0,Green
61,75,0.02,87,5,85,3,Red
22,80,0.0,86,8,83,2,Orange
2,55,0.0,73,7,65,0,Green
10,11,0.0,100,2,77,1,Yellow
3,9,0.0,105,5,84,2,Orange
65,77,0.0,55,5,53,0,Green
68,72,0.18,89,9,87,4,Black
47,73,0.0,71,14,69,0,Green
30,73,0.02,89,9,87,4,Black
85,78,0.0,66,3,63,0,Green
29,21,0.0,80,9,63,0,Green
3,74,0.0,82,4,79,1,Yellow
30,75,0.0,89,6,86,3,Red
33,77,0.0,89,5,88,4,Black
13,68,0.0,91,5,88,4,Black
3,7,0.0,109,4,85,3,Red
57,75,0.03,87,5,86,3,Red
32,63,0.0,87,8,82,2,Orange
66,70,0.09,89,9,86,3,Red
63,75,0.12,89,14,88,4,Black
8,13,0.0,98,2,79,1,Yellow
74,71,0.01,75,5,71,0,Green
39,70,0.04,89,6,88,4,Black
18,56,0.01,93,7,87,4,Black
47,88,0.57,82,2,81,1,Yellow
3,7,0.0,111,3,87,4,Black
30,59,0.0,86,7,82,2,Orange
3,11,0.0,109,8,85,3,Red
3,21,0.0,104,3,87,4,Black
8,13,0.0,96,5,77,1,Yellow
25,66,0.0,91,8,89,4,Black
12,66,0.0,91,8,86,3,Red
34,72,0.04,89,9,88,4,Black
68,73,0.15,89,10,84,2,Orange
92,94,0.44,73,17,72,0,Green
9,15,0.0,95,7,73,0,Green
3,7,0.0,93,6,72,0,Green
96,87,0.59,80,16,79,1,Yellow
5,12,0.0,109,5,86,3,Red
14,66,0.06,89,7,84,2,Orange
4,12,0.0,87,4,69,0,Green
11,79,0.0,86,2,85,3,Red
2,24,0.0,89,2,73,0,Green
1,8,0.0,107,4,85,3,Red
73,78,0.1,89,9,85,3,Red
49,80,0.04,86,5,82,2,Orange
26,83,0.0,86,5,84,2,Orange
44,79,0.12,86,9,83,2,Orange
1,39,0.0,91,5,82,2,Orange
56,67,0.0,84,4,81,1,Yellow
4,7,0.0,113,7,86,3,Red
11,70,0.0,91,5,86,3,Red
35,73,0.0,86,22,82,2,Orange
95,87,0.09,66,8,64,0,Green
73,69,0.0,73,2,68,0,Green
34,73,0.0,89,13,86,3,Red
4,12,0.0,107,7,84,2,Orange
13,70,0.0,89,3,88,4,Black
9,9,0.0,107,5,84,2,Orange
49,78,0.5,89,12,87,4,Black
4,17,0.0,102,5,85,3,Red
4,12,0.0,104,6,85,3,Red
8,80,0.0,84,2,82,2,Orange
6,15,0.0,100,9,79,1,Yellow
52,77,0.0,82,3,81,1,Yellow
2,11,0.0,104,6,82,2,Orange
21,70,0.0,89,4,87,4,Black
1,66,0.0,71,6,65,0,Green
54,70,0.0,89,5,85,3,Red
3,43,0.0,86,5,79,1,Yellow
6,9,0.0,107,4,82,2,Orange
46,57,0.0,86,5,82,2,Orange
2,14,0.0,100,3,79,1,Yellow
4,14,0.0,109,3,88,4,Black
1,8,0.0,107,3,85,3,Red
14,36,0.0,55,3,49,0,Green
93,94,0.01,68,9,67,0,Green
