Local hr,Cloud,Humidity,Precip,Temp,Wind,Wbgt,class,alert color
15,57,66,0.05,87,7,84,2,Orange
13,47,70,0.0,89,3,87,3,Red
13,1,11,0.0,107,4,84,2,Orange
12,5,9,0.0,104,4,81,1,Yellow
13,9,11,0.0,102,12,78,0,Green
17,9,77,0.0,87,9,84,2,Orange
18,6,17,0.0,96,2,76,0,Green
16,23,54,0.0,86,18,78,0,Green
12,25,75,0.0,89,5,87,3,Red
16,6,14,0.0,82,5,64,0,Green
18,20,77,0.0,57,4,53,0,Green
8,10,31,0.0,84,4,73,0,Green
13,60,80,0.2,86,8,86,3,Red
12,4,29,0.0,91,5,81,1,Yellow
16,62,72,0.17,89,4,84,2,Orange
10,4,10,0.0,109,7,87,3,Red
13,7,9,0.0,111,5,85,2,Orange
14,58,61,0.06,89,9,85,2,Orange
11,94,90,0.0,68,10,67,0,Green
13,59,77,0.1,89,13,87,3,Red
16,16,74,0.0,89,6,85,2,Orange
11,17,70,0.0,87,2,85,2,Orange
17,39,72,0.01,89,5,85,2,Orange
16,100,72,0.03,77,14,72,0,Green
12,8,10,0.0,109,5,84,2,Orange
12,30,70,0.0,91,6,88,3,Red
11,0,13,0.0,98,6,81,1,Yellow
19,72,80,0.49,84,5,81,1,Yellow
12,35,68,0.0,91,5,88,3,Red
13,17,16,0.0,107,4,86,3,Red
11,12,16,0.0,104,4,85,2,Orange
15,13,14,0.0,104,2,82,1,Yellow
10,88,81,0.0,68,7,66,0,Green
14,53,82,0.03,86,9,85,2,Orange
11,34,77,0.0,89,5,87,3,Red
14,28,18,0.0,84,6,68,0,Green
8,6,27,0.0,75,8,64,0,Green
11,10,6,0.0,98,7,77,0,Green
10,4,16,0.0,104,4,86,3,Red
22,93,87,0.01,71,4,69,0,Green
14,57,63,0.0,89,8,84,2,Orange
14,51,64,0.01,89,3,86,3,Red
15,37,56,0.0,87,13,82,1,Yellow
12,16,68,0.0,91,5,88,3,Red
13,4,8,0.0,109,6,84,2,Orange
16,30,70,0.0,89,5,84,2,Orange
16,24,65,0.0,89,4,84,2,Orange
11,15,67,0.0,86,6,83,1,Yellow
15,5,47,0.0,89,5,81,1,Yellow
16,37,72,0.0,86,11,82,1,Yellow
13,25,62,0.0,91,3,88,3,Red
12,31,73,0.0,89,5,88,3,Red
14,14,8,0.0,107,9,82,1,Yellow
12,8,8,0.0,111,5,86,3,Red
13,28,70,0.06,89,7,87,3,Red
11,1,8,0.0,109,6,86,3,Red
13,8,9,0.0,107,3,83,1,Yellow
15,34,70,0.0,87,12,84,2,Orange
13,73,58,0.0,77,7,73,0,Green
11,5,13,0.0,109,2,88,3,Red
18,12,21,0.0,95,2,76,0,Green
11,17,74,0.0,89,3,86,3,Red
16,14,72,0.0,91,7,87,3,Red
15,11,10,0.0,98,10,74,0,Green
12,3,8,0.0,111,2,87,3,Red
20,40,82,0.01,86,10,82,1,Yellow
13,5,9,0.0,109,5,83,1,Yellow
11,3,8,0.0,109,5,85,2,Orange
13,6,10,0.0,111,4,86,3,Red
11,18,77,0.0,86,3,85,2,Orange
12,47,77,0.0,86,2,86,3,Red
14,47,59,0.0,89,7,86,3,Red
11,2,7,0.0,111,5,88,3,Red
14,9,10,0.0,109,7,83,1,Yellow
14,12,58,0.0,93,6,88,3,Red
12,47,75,0.0,86,2,85,2,Orange
13,70,75,0.92,86,8,85,2,Orange
20,36,82,0.37,84,2,80,0,Green
17,100,84,0.0,71,6,68,0,Green
17,57,71,0.09,89,7,84,2,Orange
12,53,77,0.06,86,6,85,2,Orange
18,22,63,0.0,87,4,81,1,Yellow
18,44,82,0.12,84,7,82,1,Yellow
15,59,73,0.46,89,4,86,3,Red
13,6,10,0.0,113,8,86,3,Red
12,16,70,0.0,89,5,88,3,Red
16,32,72,0.04,89,7,85,2,Orange
13,36,80,0.01,89,11,88,3,Red
13,28,68,0.01,87,5,86,3,Red
12,12,14,0.0,100,6,79,0,Green
11,3,29,0.0,102,5,89,3,Red
17,23,70,0.01,89,7,85,2,Orange
17,73,78,0.1,89,9,85,2,Orange
16,80,72,0.05,89,7,84,2,Orange
10,3,21,0.0,105,3,90,3,Red
13,41,66,0.0,89,9,86,3,Red
13,6,12,0.0,109,5,85,2,Orange
17,83,78,0.02,87,9,84,2,Orange
14,82,70,0.24,89,12,86,3,Red
21,22,91,0.01,82,5,81,1,Yellow
10,2,61,0.0,86,8,81,1,Yellow
11,4,18,0.0,95,4,80,0,Green
9,9,14,0.0,102,4,84,2,Orange
11,46,77,0.57,86,3,84,2,Orange
9,4,20,0.0,100,4,84,2,Orange
14,66,70,0.03,89,7,86,3,Red
14,3,11,0.0,109,8,85,2,Orange
