Local hr,Cloud,Humidity,Precip,Temp,Wind
14.0,38.0,73.0,0.02,89.0,5.0,3
11.0,1.0,12.0,0.0,100.0,5.0,1
16.0,71.0,68.0,0.0,71.0,7.0,0
15.0,5.0,13.0,0.0,93.0,5.0,0
10.0,3.0,9.0,0.0,102.0,4.0,1
13.0,2.0,15.0,0.0,98.0,2.0,0
13.0,56.0,61.0,0.0,68.0,4.0,0
18.0,3.0,39.0,0.0,78.0,3.0,0
12.0,44.0,100.0,0.16,60.0,5.0,0
17.0,96.0,84.0,0.12,73.0,7.0,0
11.0,6.0,11.0,0.0,102.0,12.0,1
8.0,17.0,17.0,0.0,91.0,12.0,0
16.0,3.0,43.0,0.0,89.0,5.0,0
18.0,80.0,88.0,0.06,75.0,8.0,0
21.0,13.0,82.0,0.0,77.0,4.0,0
18.0,55.0,23.0,0.0,51.0,7.0,0
9.0,1.0,15.0,0.0,77.0,3.0,0
12.0,5.0,8.0,0.0,102.0,3.0,0
21.0,46.0,91.0,0.01,82.0,5.0,1
7.0,0.0,19.0,0.0,71.0,6.0,0
15.0,37.0,56.0,0.0,87.0,13.0,1
18.0,98.0,73.0,0.0,66.0,2.0,0
11.0,21.0,9.0,0.0,102.0,7.0,0
16.0,57.0,68.0,0.06,89.0,6.0,2
10.0,3.0,77.0,0.0,87.0,4.0,2
14.0,4.0,12.0,0.0,109.0,5.0,2
18.0,31.0,82.0,0.0,80.0,16.0,0
7.0,2.0,23.0,0.0,68.0,9.0,0
15.0,59.0,68.0,0.0,68.0,4.0,0
15.0,70.0,59.0,0.0,73.0,5.0,0
22.0,76.0,84.0,0.0,73.0,8.0,0
11.0,5.0,12.0,0.0,104.0,4.0,1
15.0,41.0,73.0,0.0,89.0,6.0,3
12.0,31.0,30.0,0.0,62.0,10.0,0
15.0,0.0,22.0,0.0,93.0,3.0,0
16.0,4.0,11.0,0.0,93.0,2.0,0
20.0,59.0,93.0,0.0,59.0,4.0,0
11.0,2.0,15.0,0.0,91.0,1.0,0
18.0,3.0,21.0,0.0,66.0,2.0,0
14.0,53.0,73.0,0.04,89.0,3.0,3
13.0,3.0,28.0,0.0,84.0,2.0,0
12.0,11.0,14.0,0.0,105.0,4.0,2
14.0,5.0,10.0,0.0,102.0,4.0,0
15.0,88.0,66.0,0.0,68.0,2.0,0
11.0,2.0,20.0,0.0,98.0,5.0,1
17.0,5.0,19.0,0.0,77.0,8.0,0
11.0,3.0,11.0,0.0,104.0,5.0,1
14.0,37.0,60.0,0.01,91.0,6.0,3
11.0,22.0,69.0,0.0,75.0,5.0,0
14.0,5.0,14.0,0.0,102.0,12.0,1
20.0,47.0,82.0,0.0,80.0,4.0,0
9.0,2.0,25.0,0.0,68.0,4.0,0
19.0,23.0,81.0,0.0,57.0,4.0,0
18.0,92.0,96.0,0.19,66.0,5.0,0
12.0,56.0,79.0,0.0,77.0,5.0,0
15.0,68.0,78.0,0.1,89.0,10.0,3
15.0,9.0,59.0,0.0,86.0,5.0,1
14.0,48.0,72.0,0.39,87.0,8.0,2
19.0,0.0,71.0,0.0,78.0,5.0,0
21.0,93.0,93.0,0.0,68.0,6.0,0
17.0,47.0,72.0,0.11,89.0,8.0,2
16.0,68.0,76.0,0.0,82.0,6.0,0
13.0,6.0,13.0,0.0,104.0,5.0,1
11.0,5.0,18.0,0.0,104.0,5.0,3
9.0,2.0,31.0,0.0,71.0,11.0,0
17.0,100.0,96.0,0.1,66.0,8.0,0
10.0,9.0,68.0,0.0,69.0,5.0,0
16.0,23.0,60.0,0.02,93.0,8.0,3
11.0,46.0,75.0,0.01,86.0,3.0,1
17.0,25.0,67.0,0.0,80.0,10.0,0
19.0,8.0,30.0,0.0,78.0,3.0,0
21.0,98.0,100.0,0.06,68.0,6.0,0
11.0,1.0,28.0,0.0,91.0,5.0,0
11.0,4.0,22.0,0.0,91.0,5.0,0
15.0,48.0,70.0,0.06,87.0,9.0,2
18.0,83.0,66.0,0.0,68.0,15.0,0
18.0,69.0,89.0,0.0,59.0,6.0,0
15.0,1.0,8.0,0.0,104.0,5.0,0
20.0,59.0,87.0,0.57,82.0,2.0,0
15.0,6.0,20.0,0.0,82.0,4.0,0
12.0,40.0,58.0,0.0,62.0,2.0,0
7.0,1.0,11.0,0.0,95.0,5.0,0
11.0,3.0,9.0,0.0,104.0,4.0,1
13.0,10.0,15.0,0.0,77.0,3.0,0
11.0,50.0,72.0,0.0,82.0,3.0,0
8.0,2.0,18.0,0.0,78.0,5.0,0
15.0,6.0,14.0,0.0,104.0,4.0,1
14.0,37.0,61.0,0.03,89.0,12.0,3
20.0,40.0,82.0,0.51,84.0,9.0,1
17.0,11.0,41.0,0.0,91.0,6.0,0
12.0,9.0,9.0,0.0,107.0,9.0,1
17.0,0.0,37.0,0.0,82.0,3.0,0
10.0,5.0,10.0,0.0,93.0,10.0,0
15.0,5.0,11.0,0.0,89.0,4.0,0
17.0,55.0,82.0,0.3,86.0,9.0,1
13.0,23.0,13.0,0.0,86.0,10.0,0
9.0,10.0,16.0,0.0,100.0,6.0,1
14.0,85.0,82.0,0.03,82.0,12.0,0
18.0,7.0,64.0,0.0,82.0,6.0,0
14.0,17.0,11.0,0.0,104.0,6.0,0
15.0,34.0,67.0,0.02,86.0,7.0,1
10.0,68.0,87.0,0.0,71.0,2.0,0
18.0,11.0,49.0,0.0,55.0,7.0,0
17.0,100.0,87.0,0.08,64.0,5.0,0
15.0,16.0,55.0,0.0,87.0,5.0,1
14.0,4.0,37.0,0.0,93.0,9.0,1
12.0,0.0,27.0,0.0,91.0,5.0,0
13.0,88.0,77.0,0.0,82.0,9.0,0
17.0,100.0,75.0,0.01,69.0,5.0,0
11.0,52.0,82.0,0.03,86.0,5.0,2
20.0,32.0,71.0,0.0,80.0,11.0,0
16.0,54.0,65.0,0.0,84.0,7.0,0
18.0,56.0,66.0,0.0,71.0,5.0,0
13.0,3.0,12.0,0.0,86.0,2.0,0
13.0,9.0,15.0,0.0,89.0,4.0,0
18.0,9.0,33.0,0.0,75.0,5.0,0
16.0,80.0,84.0,0.07,69.0,5.0,0
11.0,92.0,75.0,0.0,64.0,2.0,0
8.0,1.0,10.0,0.0,95.0,2.0,0
12.0,5.0,12.0,0.0,104.0,5.0,1
11.0,37.0,59.0,0.0,86.0,3.0,1
12.0,15.0,77.0,0.0,80.0,2.0,0
15.0,8.0,10.0,0.0,100.0,2.0,0
20.0,34.0,84.0,0.0,77.0,4.0,0
18.0,73.0,82.0,0.05,75.0,6.0,0
