Local hr,Cloud,Humidity,Precip,Temp,Wind,Wbgt,class,alert color
14,29,62,0.0,89,5,86,4,Black
15,96,91,0.04,73,6,71,0,Green
10,3,12,0.0,107,5,86,4,Black
10,94,100,0.16,57,5,58,0,Green
10,91,84,0.0,64,5,62,0,Green
17,58,68,0.17,89,4,83,2,Orange
15,41,64,0.0,91,13,86,4,Black
14,17,68,0.01,91,7,88,4,Black
13,9,11,0.0,107,7,83,2,Orange
14,5,13,0.0,86,5,67,0,Green
17,23,74,0.0,59,4,55,0,Green
13,0,13,0.0,107,4,84,3,Red
13,72,80,0.0,84,13,84,3,Red
12,12,68,0.0,91,5,88,4,Black
15,34,67,0.02,86,7,82,2,Orange
16,46,66,0.0,89,13,84,3,Red
18,25,66,0.05,91,8,84,3,Red
16,35,68,0.0,91,5,86,4,Black
16,25,75,0.01,87,9,84,3,Red
14,40,74,0.05,89,13,89,4,Black
17,46,68,0.29,89,5,84,3,Red
13,64,75,0.3,87,6,86,4,Black
14,32,64,0.0,91,2,88,4,Black
13,6,11,0.0,104,3,81,2,Orange
17,50,80,0.25,87,12,84,3,Red
9,20,69,0.0,59,5,58,0,Green
13,47,74,0.02,86,22,83,2,Orange
15,51,64,0.5,89,6,85,3,Red
11,32,70,0.0,86,8,83,2,Orange
16,71,71,0.32,91,12,86,4,Black
14,57,72,0.0,59,6,56,0,Green
16,9,33,0.0,100,4,84,3,Red
12,21,70,0.0,89,4,87,4,Black
16,44,70,0.02,89,9,84,3,Red
11,30,77,0.01,86,2,85,3,Red
17,57,71,0.08,91,7,86,4,Black
14,2,16,0.0,102,4,81,2,Orange
8,4,28,0.0,48,17,42,0,Green
11,13,15,0.0,100,4,83,2,Orange
12,22,73,0.0,89,7,87,4,Black
11,1,28,0.0,91,5,79,0,Green
15,3,9,0.0,109,6,84,3,Red
10,33,77,0.0,53,3,54,0,Green
18,39,59,0.0,89,8,81,2,Orange
13,28,72,0.03,86,8,86,4,Black
9,8,11,0.0,102,3,83,2,Orange
12,36,77,0.03,89,9,87,4,Black
14,8,8,0.0,111,12,83,2,Orange
18,67,81,0.03,73,9,70,0,Green
22,54,93,0.13,78,2,77,0,Green
15,25,70,0.05,89,8,87,4,Black
15,6,17,0.0,102,5,81,2,Orange
10,3,10,0.0,105,3,85,3,Red
13,44,70,0.01,86,8,84,3,Red
10,1,27,0.0,96,6,84,3,Red
10,22,9,0.0,104,5,84,3,Red
15,2,50,0.0,89,6,82,2,Orange
13,3,7,0.0,113,5,86,4,Black
15,29,63,0.0,84,5,81,2,Orange
21,40,82,0.0,86,11,82,2,Orange
14,19,75,0.01,87,8,86,4,Black
12,8,11,0.0,109,7,86,4,Black
12,57,77,0.04,87,5,86,4,Black
18,6,81,0.0,69,5,66,0,Green
12,6,15,0.0,95,5,79,0,Green
14,4,9,0.0,109,4,84,3,Red
19,4,27,0.0,69,3,57,0,Green
12,3,11,0.0,109,5,86,4,Black
12,50,72,0.02,86,3,84,3,Red
14,8,12,0.0,111,3,85,3,Red
11,2,9,0.0,104,2,82,2,Orange
9,4,13,0.0,102,6,83,2,Orange
19,43,63,0.0,84,10,77,0,Green
13,18,60,0.0,93,5,90,4,Black
5,50,57,0.01,86,11,80,0,Green
10,3,12,0.0,107,9,86,4,Black
14,5,7,0.0,111,3,84,3,Red
