Local hr,Cloud,Humidity,Precip,Temp,Wind
0.0,58.0,87.0,0.19,80.0,5.0,0
11.0,3.0,10.0,0.0,93.0,3.0,0
12.0,7.0,72.0,0.0,55.0,4.0,0
20.0,53.0,79.0,0.0,75.0,8.0,0
17.0,82.0,84.0,0.03,66.0,9.0,0
10.0,1.0,15.0,0.0,86.0,16.0,0
0.0,84.0,84.0,0.12,78.0,6.0,0
17.0,100.0,81.0,0.01,71.0,7.0,0
10.0,1.0,20.0,0.0,93.0,5.0,0
21.0,4.0,71.0,0.0,82.0,4.0,0
12.0,14.0,9.0,0.0,98.0,5.0,0
9.0,1.0,14.0,0.0,82.0,5.0,0
12.0,2.0,35.0,0.0,69.0,13.0,0
15.0,1.0,55.0,0.0,82.0,13.0,0
21.0,51.0,82.0,0.19,82.0,3.0,0
14.0,2.0,46.0,0.0,71.0,3.0,0
15.0,37.0,48.0,0.0,82.0,17.0,0
18.0,57.0,67.0,0.0,80.0,2.0,0
8.0,16.0,84.0,0.0,66.0,1.0,0
15.0,3.0,23.0,0.0,80.0,10.0,0
12.0,0.0,42.0,0.0,82.0,5.0,0
13.0,3.0,41.0,0.0,82.0,5.0,0
21.0,86.0,100.0,0.15,73.0,9.0,0
13.0,39.0,97.0,0.16,59.0,5.0,0
17.0,7.0,19.0,0.0,82.0,5.0,0
16.0,0.0,36.0,0.0,86.0,6.0,0
15.0,8.0,12.0,0.0,96.0,10.0,0
8.0,0.0,27.0,0.0,80.0,6.0,0
11.0,1.0,13.0,0.0,89.0,2.0,0
16.0,1.0,54.0,0.0,73.0,1.0,0
17.0,40.0,37.0,0.0,93.0,3.0,0
12.0,29.0,35.0,0.0,75.0,5.0,0
12.0,5.0,14.0,0.0,91.0,3.0,0
13.0,64.0,69.0,0.08,82.0,4.0,0
15.0,99.0,50.0,0.0,77.0,14.0,0
21.0,38.0,85.0,0.04,80.0,5.0,0
16.0,2.0,19.0,0.0,75.0,5.0,0
13.0,3.0,9.0,0.0,89.0,7.0,0
13.0,4.0,8.0,0.0,104.0,4.0,0
14.0,4.0,21.0,0.0,87.0,14.0,0
17.0,79.0,87.0,0.03,77.0,7.0,0
14.0,4.0,21.0,0.0,95.0,5.0,0
18.0,91.0,82.0,0.03,75.0,17.0,0
8.0,4.0,34.0,0.0,73.0,2.0,0
10.0,78.0,97.0,0.04,66.0,1.0,0
18.0,0.0,46.0,0.0,78.0,4.0,0
8.0,3.0,10.0,0.0,98.0,2.0,0
14.0,2.0,11.0,0.0,95.0,14.0,0
18.0,97.0,84.0,0.12,73.0,7.0,0
20.0,13.0,76.0,0.0,77.0,2.0,0
19.0,40.0,82.0,0.27,80.0,2.0,0
12.0,25.0,10.0,0.0,100.0,8.0,0
16.0,7.0,13.0,0.0,84.0,9.0,0
10.0,3.0,10.0,0.0,84.0,7.0,0
13.0,71.0,88.0,0.01,80.0,10.0,0
8.0,2.0,11.0,0.0,98.0,5.0,0
13.0,79.0,65.0,0.0,62.0,5.0,0
16.0,9.0,14.0,0.0,104.0,2.0,0
16.0,9.0,16.0,0.0,91.0,7.0,0
15.0,9.0,17.0,0.0,87.0,5.0,0
15.0,11.0,14.0,0.0,96.0,5.0,0
18.0,2.0,25.0,0.0,87.0,8.0,0
20.0,9.0,34.0,0.0,62.0,5.0,0
20.0,36.0,69.0,0.0,82.0,11.0,0
8.0,2.0,22.0,0.0,77.0,3.0,0
