Local hr,Cloud,Humidity,Precip,Temp,Wind,Wbgt,class,alert color
17,11,45,0.0,57,7,50,0,Green
20,6,19,0.0,68,5,54,0,Green
13,1,24,0.0,91,8,76,0,Green
19,31,70,0.0,87,4,82,2,Orange
11,2,11,0.0,109,4,87,4,Black
16,15,57,0.0,86,5,79,0,Green
10,47,19,0.0,89,5,75,0,Green
15,1,25,0.0,95,5,81,2,Orange
12,60,65,0.0,64,7,62,0,Green
12,25,67,0.01,86,12,82,2,Orange
19,92,88,0.03,77,11,74,0,Green
15,62,65,0.01,86,3,81,2,Orange
11,4,9,0.0,105,3,84,3,Red
13,1,46,0.0,77,14,70,0,Green
15,59,55,0.0,91,9,84,3,Red
12,12,11,0.0,100,6,79,0,Green
21,73,84,0.0,64,2,62,0,Green
13,5,10,0.0,86,10,66,0,Green
15,86,69,0.04,80,6,75,0,Green
8,2,7,0.0,96,2,77,0,Green
16,48,80,0.13,86,11,83,2,Orange
17,6,14,0.0,100,2,77,0,Green
14,3,8,0.0,91,9,69,0,Green
20,1,79,0.0,80,8,75,0,Green
16,1,21,0.0,93,7,75,0,Green
14,35,11,0.0,107,7,82,2,Orange
12,7,18,0.0,100,4,82,2,Orange
13,10,27,0.0,91,3,76,0,Green
16,93,85,0.63,82,15,79,0,Green
14,49,67,0.76,89,8,86,4,Black
19,2,33,0.0,84,2,70,0,Green
7,2,13,0.0,102,10,81,2,Orange
12,3,9,0.0,98,10,76,0,Green
13,13,58,0.0,82,9,79,0,Green
15,11,16,0.0,84,8,68,0,Green
9,1,24,0.0,91,5,79,0,Green
16,39,84,0.0,66,6,64,0,Green
21,9,74,0.0,78,4,74,0,Green
10,0,33,0.0,87,2,78,0,Green
13,4,13,0.0,89,8,70,0,Green
21,26,77,0.0,84,5,80,0,Green
19,2,21,0.0,66,2,54,0,Green
14,75,77,0.0,82,10,79,0,Green
17,7,16,0.0,82,3,64,0,Green
12,59,74,0.01,82,3,80,0,Green
12,84,84,0.0,68,9,67,0,Green
12,8,18,0.0,86,4,72,0,Green
8,1,16,0.0,86,2,70,0,Green
9,4,34,0.0,50,17,44,0,Green
13,18,66,0.0,73,9,69,0,Green
11,30,17,0.0,82,5,68,0,Green
10,42,63,0.07,87,8,84,3,Red
15,0,50,0.0,91,9,83,2,Orange
19,20,72,0.0,84,4,78,0,Green
21,58,91,0.13,80,2,77,0,Green
14,3,7,0.0,96,5,74,0,Green
11,3,19,0.0,86,5,73,0,Green
12,4,14,0.0,80,3,66,0,Green
18,6,14,0.0,75,3,58,0,Green
19,51,66,0.0,73,13,68,0,Green
11,3,20,0.0,87,5,75,0,Green
14,39,66,0.0,80,8,73,0,Green
10,10,10,0.0,84,7,68,0,Green
