Program runtime,Data timestamp,Local date,Local hr,City,Cloud,Humidity,Precip,Temp,Wbgt,Wind
2024-09-29T09:17:58,2024-09-29T10:00:00-04:00,2024-09-29,10,"Boston, MA",91,81,0.0,62,59,4
2024-09-29T09:17:59,2024-09-29T10:00:00-04:00,2024-09-29,10,"Bedford, MA",92,84,0.0,60,59,3
2024-09-29T09:18:01,2024-09-29T10:00:00-04:00,2024-09-29,10,"Franklin, MA",92,84,0.0,60,59,4
2024-09-29T09:18:03,2024-09-29T10:00:00-04:00,2024-09-29,10,"Worcester, MA",92,87,0.0,59,57,4
2024-09-29T09:18:05,2024-09-29T10:00:00-04:00,2024-09-29,10,"Springfield, MA",88,73,0.0,64,60,4
2024-09-29T09:18:06,2024-09-29T10:00:00-04:00,2024-09-29,10,"Hartford, CT",92,84,0.0,60,59,4
2024-09-29T09:18:09,2024-09-29T10:00:00-04:00,2024-09-29,10,"New York, NY",92,93,0.07,64,62,11
2024-09-29T09:18:10,2024-09-29T10:00:00-04:00,2024-09-29,10,"Albany, NY",75,76,0.0,66,64,3
2024-09-29T09:18:11,2024-09-29T10:00:00-04:00,2024-09-29,10,"Providence, RI",93,81,0.0,62,59,5
2024-09-29T09:18:12,2024-09-29T10:00:00-04:00,2024-09-29,10,"Atlantic City, NJ",90,84,0.01,73,71,9
2024-09-29T09:18:13,2024-09-29T10:00:00-04:00,2024-09-29,10,"Cape May, NJ",79,90,0.01,73,72,8
2024-09-29T09:18:18,2024-09-29T10:00:00-04:00,2024-09-29,10,"Princeton, NJ",99,93,0.06,64,64,7
2024-09-29T09:18:18,2024-09-29T10:00:00-04:00,2024-09-29,10,"Trenton, NJ",99,90,0.06,66,64,7
2024-09-29T09:18:19,2024-09-29T10:00:00-04:00,2024-09-29,10,"Philadelphia, PA",97,87,0.04,68,67,7
2024-09-29T09:18:20,2024-09-29T10:00:00-04:00,2024-09-29,10,"Lancaster, PA",100,93,0.02,66,64,7
2024-09-29T09:18:22,2024-09-29T10:00:00-04:00,2024-09-29,10,"Riverside, PA",100,90,0.02,64,62,5
2024-09-29T09:18:23,2024-09-29T10:00:00-04:00,2024-09-29,10,"Pittsburgh, PA",100,94,0.09,71,69,5
2024-09-29T09:18:24,2024-09-29T10:00:00-04:00,2024-09-29,10,"Oxford, PA",95,93,0.01,64,64,8
2024-09-29T09:18:25,2024-09-29T10:00:00-04:00,2024-09-29,10,"York, PA",100,100,0.03,64,64,8
2024-09-29T09:18:26,2024-09-29T10:00:00-04:00,2024-09-29,10,"Derry, PA",100,90,0.1,68,67,6
2024-09-29T09:18:27,2024-09-29T10:00:00-04:00,2024-09-29,10,"Bear Rocks, PA",100,100,0.15,59,59,6
2024-09-29T09:18:30,2024-09-29T10:00:00-04:00,2024-09-29,10,"Breakneck, PA",100,90,0.08,68,66,6
2024-09-29T09:18:31,2024-09-29T10:00:00-04:00,2024-09-29,10,"South Uniontown, PA",100,87,0.06,71,69,5
2024-09-29T09:18:32,2024-09-29T10:00:00-04:00,2024-09-29,10,"Erie, PA",94,87,0.01,69,68,6
2024-09-29T09:18:34,2024-09-29T10:00:00-04:00,2024-09-29,10," Harrisburg, PA",100,93,0.04,64,63,7
2024-09-29T09:18:35,2024-09-29T10:00:00-04:00,2024-09-29,10,"Wilmington, DE",95,87,0.02,68,67,6
2024-09-29T09:18:36,2024-09-29T10:00:00-04:00,2024-09-29,10,"Glasgow, DE",94,84,0.03,69,67,7
2024-09-29T09:18:37,2024-09-29T10:00:00-04:00,2024-09-29,10,"Georgetown, DE",72,79,0.01,75,72,6
2024-09-29T09:18:42,2024-09-29T10:00:00-04:00,2024-09-29,10,"Dover, DE",88,84,0.01,73,70,6
2024-09-29T09:18:43,2024-09-29T10:00:00-04:00,2024-09-29,10,"Berlin, MD",66,87,0.0,73,72,5
2024-09-29T09:18:45,2024-09-29T10:00:00-04:00,2024-09-29,10,"Denton, MD",82,87,0.01,71,70,5
2024-09-29T09:18:46,2024-09-29T10:00:00-04:00,2024-09-29,10,"Baltimore, MD",95,87,0.0,69,68,6
