Program runtime,Data timestamp,Local date,Local hr,City,Cloud,Humidity,Precip,Temp,Wbgt,Wind
2024-09-27T08:49:33,2024-09-27T09:00:00-04:00,9/27/24,9,"Boston, MA",53,84,0,64,63,4
2024-09-27T10:11:29,2024-09-27T11:00:00-04:00,9/27/24,11,"Boston, MA",35,68,0,71,68,3
2024-09-27T10:11:30,2024-09-27T11:00:00-04:00,9/27/24,11,"Atlantic City, NJ",98,93,0.01,75,73,5
2024-09-27T10:11:31,2024-09-27T11:00:00-04:00,9/27/24,11,"Cape May, NJ",98,100,0.01,73,73,7
2024-09-27T10:11:32,2024-09-27T11:00:00-04:00,9/27/24,11,"Philadelphia, PA",100,96,0.01,71,71,6
2024-09-27T10:11:33,2024-09-27T11:00:00-04:00,9/27/24,11,"Lancaster, PA",98,100,0.01,69,70,6
2024-09-27T10:11:34,2024-09-27T11:00:00-04:00,9/27/24,11,"Riverside, PA",99,78,0,68,66,5
2024-09-27T10:11:35,2024-09-27T11:00:00-04:00,9/27/24,11,"Pittsburgh, PA",93,87,0,75,73,12
2024-09-27T10:11:38,2024-09-27T11:00:00-04:00,9/27/24,11,"Wilmington, DE",100,93,0.01,73,73,6
2024-09-27T10:11:38,2024-09-27T11:00:00-04:00,9/27/24,11,"Glasgow, DE",100,93,0.02,75,74,6
2024-09-27T10:11:39,2024-09-27T11:00:00-04:00,9/27/24,11,"Georgetown, DE",98,87,0.01,77,75,6
2024-09-27T10:11:41,2024-09-27T11:00:00-04:00,9/27/24,11,"Dover, DE",99,93,0.01,75,75,5
2024-09-27T10:11:41,2024-09-27T11:00:00-04:00,9/27/24,11,"Berlin, MD",90,90,0,75,75,6
2024-09-27T10:11:43,2024-09-27T11:00:00-04:00,9/27/24,11,"Denton, MD",99,93,0.01,75,75,5
2024-09-27T10:11:44,2024-09-27T11:00:00-04:00,9/27/24,11,"Baltimore, MD",94,90,0.02,75,74,6
2024-09-27T10:11:45,2024-09-27T11:00:00-04:00,9/27/24,11,"Berlin, MD",90,90,0,75,75,6
2024-09-27T10:11:46,2024-09-27T11:00:00-04:00,9/27/24,11,"Edgewood, MD",96,93,0.02,75,74,5
2024-09-27T10:11:47,2024-09-27T11:00:00-04:00,9/27/24,11,"Annapolis, MD",93,93,0.01,75,74,7
2024-09-27T10:11:48,2024-09-27T11:00:00-04:00,9/27/24,11,"Frederick, MD",94,93,0.03,73,73,5
2024-09-27T10:11:49,2024-09-27T11:00:00-04:00,9/27/24,11,"Hagerstown, MD",96,93,0.02,73,72,6
2024-09-27T10:14:25,2024-09-27T11:00:00-04:00,9/27/24,11,"Norfolk, VA",90,87,0.01,78,77,11
2024-09-27T10:14:26,2024-09-27T11:00:00-04:00,9/27/24,11,"Richmond, VA",95,96,0.03,75,75,12
2024-09-27T10:14:27,2024-09-27T11:00:00-04:00,9/27/24,11,"Reston, VA",95,96,0.02,73,73,8
2024-09-27T10:16:16,2024-09-27T11:00:00-04:00,9/27/24,11,"Norfolk, VA",90,87,0.01,78,77,11
2024-09-27T10:16:17,2024-09-27T11:00:00-04:00,9/27/24,11,"Richmond, VA",95,96,0.03,75,75,12
2024-09-27T10:16:18,2024-09-27T11:00:00-04:00,9/27/24,11,"Reston, VA",95,96,0.02,73,73,8
2024-09-27T10:18:00,2024-09-27T11:00:00-04:00,9/27/24,11,"Norfolk, VA",90,87,0.01,78,77,11
2024-09-27T10:18:01,2024-09-27T11:00:00-04:00,9/27/24,11,"Richmond, VA",95,96,0.03,75,75,12
2024-09-27T10:18:02,2024-09-27T11:00:00-04:00,9/27/24,11,"Reston, VA",95,96,0.02,73,73,8
2024-09-27T10:18:03,2024-09-27T11:00:00-04:00,9/27/24,11,"Winchester, VA",91,100,0.07,71,72,9
2024-09-27T10:18:04,2024-09-27T11:00:00-04:00,9/27/24,11,"Franklin, VA",92,90,0.07,77,77,12
2024-09-27T10:18:05,2024-09-27T11:00:00-04:00,9/27/24,11,"Gloucester, VA",92,90,0.01,77,75,10
2024-09-27T10:18:06,2024-09-27T11:00:00-04:00,9/27/24,11,"Warsaw, VA",94,93,0.03,77,76,8
2024-09-27T10:18:07,2024-09-27T11:00:00-04:00,9/27/24,11,"Jacksonville, NC",99,82,0.47,82,80,17
2024-09-27T10:18:08,2024-09-27T11:00:00-04:00,9/27/24,11,"Wilmington, NC",89,90,0.56,82,81,23
2024-09-27T10:18:09,2024-09-27T11:00:00-04:00,9/27/24,11,"Greenville, NC",97,82,0.39,82,79,15
2024-09-27T10:18:10,2024-09-27T11:00:00-04:00,9/27/24,11,"Raleigh, NC",100,93,1.39,77,76,17
2024-09-27T10:18:11,2024-09-27T11:00:00-04:00,9/27/24,11,"Rocky Mount, NC",100,87,0.59,80,78,16
2024-09-27T10:18:15,2024-09-27T11:00:00-04:00,9/27/24,11,"Fayetteville, NC",100,90,0.99,80,78,21
2024-09-27T10:18:16,2024-09-27T11:00:00-04:00,9/27/24,11,"Lumberton, NC",87,93,0.66,80,79,22
2024-09-27T10:18:17,2024-09-27T11:00:00-04:00,9/27/24,11,"Benson, NC",100,90,1.29,80,78,18
2024-09-27T10:18:18,2024-09-27T11:00:00-04:00,9/27/24,11,"Charleston, SC",63,79,0.02,84,82,22
2024-09-27T10:18:19,2024-09-27T11:00:00-04:00,9/27/24,11,"Columbia, SC",93,85,0.07,80,77,19
2024-09-27T10:18:19,2024-09-27T11:00:00-04:00,9/27/24,11,"Florence, SC",82,90,0.35,82,81,22
2024-09-27T10:18:20,2024-09-27T11:00:00-04:00,9/27/24,11,"Myrtle Beach, SC",87,90,0.79,82,80,28
2024-09-27T10:18:21,2024-09-27T11:00:00-04:00,9/27/24,11,"Savannah, GA",52,72,0,82,79,20
2024-09-27T10:18:23,2024-09-27T11:00:00-04:00,9/27/24,11,"Brunswick, GA",33,77,0,82,80,16
2024-09-27T10:18:23,2024-09-27T11:00:00-04:00,9/27/24,11,"Statesboro, GA",71,79,0,77,74,20
2024-09-27T10:18:24,2024-09-27T11:00:00-04:00,9/27/24,11,"Waycross, GA",42,76,0,77,76,15
2024-09-27T10:18:25,2024-09-27T11:00:00-04:00,9/27/24,11,"Jacksonville, FL",24,72,0,84,81,17
2024-09-27T10:18:26,2024-09-27T11:00:00-04:00,9/27/24,11,"Ocala, FL",36,77,0,84,82,13
2024-09-27T10:18:27,2024-09-27T11:00:00-04:00,9/27/24,11,"Orlando, FL",63,77,0.02,86,84,15
2024-09-27T10:18:28,2024-09-27T11:00:00-04:00,9/27/24,11,"Tampa, FL",39,72,0.03,86,84,12
2024-09-27T10:18:29,2024-09-27T11:00:00-04:00,9/27/24,11,"Hardee, FL",39,80,0.08,87,85,14
2024-09-27T10:18:30,2024-09-27T11:00:00-04:00,9/27/24,11,"Key West, FL",40,85,0.26,86,84,14
2024-09-27T10:18:31,2024-09-27T11:00:00-04:00,9/27/24,11,"Naples, FL",54,85,0.17,86,85,12
2024-09-27T10:18:32,2024-09-27T11:00:00-04:00,9/27/24,11,"Miami, FL",74,88,0.17,86,85,18
2024-09-27T10:18:34,2024-09-27T11:00:00-04:00,9/27/24,11,"Boca Raton, FL",63,75,0.17,89,86,16
2024-09-27T10:18:34,2024-09-27T11:00:00-04:00,9/27/24,11,"Sarasota, FL",35,80,0.03,87,85,15
2024-09-27T10:18:35,2024-09-27T11:00:00-04:00,9/27/24,11,"Palm Beach, FL",69,80,0.12,87,84,18
2024-09-27T10:19:52,2024-09-27T11:00:00-05:00,9/27/24,10,"El Paso, TX",1,24,0,86,72,1
2024-09-27T10:19:54,2024-09-27T11:00:00-05:00,9/27/24,10,"Austin, TX",2,39,0,82,74,4
2024-09-27T10:19:55,2024-09-27T11:00:00-05:00,9/27/24,10,"San Antonio, TX",2,38,0,82,73,3
2024-09-27T10:19:55,2024-09-27T11:00:00-05:00,9/27/24,10,"Houston, TX",3,49,0,82,75,5
2024-09-27T10:19:57,2024-09-27T11:00:00-05:00,9/27/24,10,"McAllen, TX",13,55,0,86,80,3
2024-09-27T10:19:57,2024-09-27T11:00:00-05:00,9/27/24,10,"Dallas, TX",4,52,0,77,71,7
2024-09-27T10:19:58,2024-09-27T11:00:00-05:00,9/27/24,10,"Corpus Christi, TX",0,56,0,82,77,4
2024-09-27T10:19:59,2024-09-27T11:00:00-05:00,9/27/24,10,"Baton Rouge, LA",0,56,0,78,73,8
2024-09-27T10:20:00,2024-09-27T11:00:00-05:00,9/27/24,10,"New Orleans, LA",4,58,0,78,74,9
2024-09-27T10:20:01,2024-09-27T11:00:00-05:00,9/27/24,10,"Monroe, LA",2,50,0,78,73,12
2024-09-27T10:20:43,2024-09-27T11:00:00-07:00,9/27/24,8,"Phoenix, AZ",4,15,0,102,84,3
2024-09-27T10:21:30,2024-09-27T11:00:00-07:00,9/27/24,8,"Phoenix, AZ",4,15,0,102,84,3
2024-09-27T10:21:31,2024-09-27T11:00:00-07:00,9/27/24,8,"Tucson, AZ",2,16,0,102,84,5
2024-09-27T10:21:32,2024-09-27T11:00:00-07:00,9/27/24,8,"Flagstaff, AZ",9,24,0,77,66,9
2024-09-27T10:21:33,2024-09-27T11:00:00-07:00,9/27/24,8,"Yuma, AZ",2,10,0,102,82,7
2024-09-27T10:21:33,2024-09-27T11:00:00-07:00,9/27/24,8,"Kingman, AZ",2,12,0,95,77,4
2024-09-27T10:21:34,2024-09-27T11:00:00-07:00,9/27/24,8,"Sierra Vista, AZ",1,19,0,93,77,6
2024-09-27T10:21:35,2024-09-27T11:00:00-07:00,9/27/24,8,"Graham, AZ",2,19,0,95,79,5
2024-09-27T10:21:36,2024-09-27T11:00:00-07:00,9/27/24,8,"Globe, AZ",4,20,0,93,79,5
2024-09-27T10:21:37,2024-09-27T11:00:00-07:00,9/27/24,8,"Beaver Dam, AZ",2,9,0,100,80,5
2024-09-27T10:21:38,2024-09-27T11:00:00-07:00,9/27/24,8,"Lake Havasu City, AZ",1,11,0,98,80,2
2024-09-27T10:21:39,2024-09-27T11:00:00-07:00,9/27/24,8,"Bullhead City, AZ",1,9,0,100,80,7
2024-09-27T10:21:40,2024-09-27T11:00:00-06:00,9/27/24,9,"Deming, NM",0,20,0,86,72,2
2024-09-27T10:21:41,2024-09-27T11:00:00-06:00,9/27/24,9,"Lordsburg, NM",2,20,0,89,74,2
2024-09-27T10:21:42,2024-09-27T11:00:00-06:00,9/27/24,9,"Albuquerque, NM",4,23,0,80,68,3
2024-09-27T10:21:43,2024-09-27T11:00:00-06:00,9/27/24,9,"Santa Fe, NM",16,28,0,75,64,8
2024-09-27T10:21:44,2024-09-27T11:00:00-06:00,9/27/24,9,"Denver, CO",43,30,0,73,64,4
2024-09-27T10:21:45,2024-09-27T11:00:00-06:00,9/27/24,9,"Grand Junction, CO",4,21,0,78,66,6
2024-09-27T10:21:45,2024-09-27T11:00:00-06:00,9/27/24,9,"Grand Junction, CO",4,21,0,78,66,6
2024-09-27T10:21:47,2024-09-27T11:00:00-06:00,9/27/24,9,"Salt Lake City, UT",5,23,0,77,65,2
2024-09-27T10:21:48,2024-09-27T11:00:00-06:00,9/27/24,9,"Cedar City, UT",3,20,0,77,64,4
2024-09-27T10:21:49,2024-09-27T11:00:00-06:00,9/27/24,9,"St. George, UT",4,18,0,86,71,2
2024-09-27T10:21:50,2024-09-27T11:00:00-06:00,9/27/24,9,"Halls Crossing, UT",1,20,0,80,66,2
2024-09-27T10:22:27,2024-09-27T11:00:00-07:00,9/27/24,8,"Las Vegas, NV",3,8,0,96,77,4
2024-09-27T10:22:28,2024-09-27T11:00:00-07:00,9/27/24,8,"Indian Springs, NV",3,7,0,91,72,2
