Program runtime,Data timestamp,Local date,Local hr,City,Cloud,Humidity,Precip,Temp,Wbgt,Wind
2025-06-22T08:54:03,2025-06-22T09:00:00-04:00,2025-06-22,9,"Boston, MA",79,62,0.09,80,74,11
2025-06-22T08:54:05,2025-06-22T09:00:00-04:00,2025-06-22,9,"Bedford, MA",79,71,0.12,77,74,9
2025-06-22T08:54:05,2025-06-22T09:00:00-04:00,2025-06-22,9,"Franklin, MA",80,71,0.0,77,74,8
2025-06-22T08:54:06,2025-06-22T09:00:00-04:00,2025-06-22,9,"Worcester, MA",80,68,0.02,77,72,11
2025-06-22T08:54:07,2025-06-22T09:00:00-04:00,2025-06-22,9,"Springfield, MA",88,66,0.03,80,75,7
2025-06-22T08:54:09,2025-06-22T09:00:00-04:00,2025-06-22,9,"Hartford, CT",81,62,0.0,80,75,7
2025-06-22T08:54:09,2025-06-22T09:00:00-04:00,2025-06-22,9,"New York, NY",57,67,0.07,80,75,11
2025-06-22T08:54:11,2025-06-22T09:00:00-04:00,2025-06-22,9,"Albany, NY",85,81,0.04,75,72,10
2025-06-22T08:54:12,2025-06-22T09:00:00-04:00,2025-06-22,9,"Providence, RI",80,64,0.0,80,74,8
2025-06-22T08:54:12,2025-06-22T09:00:00-04:00,2025-06-22,9,"Atlantic City, NJ",83,69,0.0,80,75,9
2025-06-22T08:54:14,2025-06-22T09:00:00-04:00,2025-06-22,9,"Cape May, NJ",65,81,0.0,75,73,9
2025-06-22T08:54:15,2025-06-22T09:00:00-04:00,2025-06-22,9,"Princeton, NJ",87,67,0.0,80,75,5
2025-06-22T08:54:16,2025-06-22T09:00:00-04:00,2025-06-22,9,"Trenton, NJ",86,67,0.0,80,75,5
2025-06-22T08:54:17,2025-06-22T09:00:00-04:00,2025-06-22,9,"Philadelphia, PA",81,65,0.0,82,77,6
2025-06-22T08:54:18,2025-06-22T09:00:00-04:00,2025-06-22,9,"Lancaster, PA",23,69,0.0,80,77,5
2025-06-22T08:54:19,2025-06-22T09:00:00-04:00,2025-06-22,9,"Riverside, PA",34,74,0.03,78,75,5
